,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,ОАО «АПК «Старониколаевский»,ОГРН 1035011650046,ИНН 5075012411,"Банк России 29.02.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Открытого акционерного общества «Агропромышленный комплекс «Старониколаевский» (Московская обл.), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-08122-A-002D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.02.2024 18:58
1,АО «МЕРИТОН»,ОГРН 1182375060780,ИНН 2310208531,"Банк России 29.02.2024 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска акций обыкновенных Акционерного общества «МЕРИТОН» (Краснодарский край), размещаемых путем конвертации в акции акционерного общества, к которому осуществляется присоединение, акций присоединяемого акционерного общества «М-КАПИТАЛ». Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-09746-Р-003D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,29.02.2024 18:52
2,АО «Н.ОстровЪ»,ОГРН,ИНН не присвоены,"Банк России 29.02.2024 принял решение о государственной регистрации выпуска акций обыкновенных Акционерного общества «Н.ОстровЪ» (Чеченская Республика), размещаемых путем распределения акций акционерного общества, создаваемого в результате выделения, среди участников Общества с ограниченной ответственностью «Остров сокровищ», реорганизуемого в форме выделения. Выпуску ценных бумаг присвоен регистрационный номер 1-01-10883-Р. Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «Н.ОстровЪ».
Решение в отношении ценных бумаг
Южное главное управление Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,29.02.2024 18:52
3,АО «ФНПЦ «Титан-Баррикады»,ОГРН 1103459004362,ИНН 3442110950,"Банк России 29.02.2024 принял решение о государственной регистрации дополнительного выпуска акций обыкновенных Акционерного общества «Федеральный научно-производственный центр «Титан-Баррикады» (Волгоградская область), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-35356-Е-014D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,29.02.2024 18:52
4,АО «Махачкалинская автоколонна 1736»,ОГРН 1130571000548,ИНН 0571002740,"Банк России 29.02.2024 принял решение об отказе в государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных Акционерного общества «Махачкалинская автоколонна 1736» (Республика Дагестан), размещавшихся путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-35669-E-001D, дата государственной регистрации 18.08.2022, признании указанного дополнительного выпуска ценных бумаг несостоявшимся и аннулировании его государственной регистрации.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,29.02.2024 18:52
5,АО «ДИННО»,ОГРН 1247700123065,ИНН 9725150842,"Банк России 29.02.2024 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций Акционерного общества «Динамичные инновации» (г. Москва), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «Динамичные инновации», регистрационный номер выпуска 1-01-87604-H.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.02.2024 18:47
6,АО «Русская равнина»,ОГРН 1127746529800,ИНН 7736645770,"Банк России 29.02.2024 принял решение об отказе в государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Русская равнина» (г. Москва), размещавшихся путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-79121-H-001D, дата государственной регистрации дополнительного выпуска 14.02.2022, признании указанного дополнительного выпуска ценных бумаг несостоявшимся и аннулировании его государственной регистрации.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.02.2024 17:33
7,АО «СЭП»,ОГРН не присвоен,ИНН не присвоен,"Банк России 29.02.2024 принял решение о государственной регистрации выпуска обыкновенных акций Акционерного общества «СЭП» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «СЭП». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87653-H. Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «СЭП».",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.02.2024 17:19
