,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «Росипподромы»,ОГРН 1127746402112,ИНН 7714873807,Банк России 28.04.2023 принял решение об аннулировании индивидуального кода 003D дополнительного выпуска обыкновенных акций Акционерного общества «Российские ипподромы» (г. Москва) с регистрационным номером 1-01-55520-E-003D от 26.12.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 16:49
1,АО «ЛЗСФ»,ОГРН 1025003079331,ИНН 5025001397,Банк России 28.04.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Акционерного общества «Лобненский завод строительного фарфора» (Московская область) с регистрационным номером 1-02-23212-H-001D от 18.10.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 16:49
2,АО «Кузнецовский комбинат»,ОГРН 1025003748857,ИНН 5030029038,Банк России 28.04.2023 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций Акционерного общества «Кузнецовский комбинат» (г. Москва) с регистрационным номером 1-01-18722-H-002D от 01.11.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 16:49
3,АО «Коломнахлебпром»,ОГРН 1025002738958,ИНН 5022013806,Банк России 28.04.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Акционерного общества «Коломнахлебпром» (Московская область) с регистрационным номером 1-02-05863-A-001D от 14.10.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 16:49
4,АО «ГРИНСТОУН ТРЕЙДИНГ»,ОГРН 1227700724635,ИНН 7730291010,Банк России 28.04.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Акционерного общества «ГРИНСТОУН ТРЕЙДИНГ» (г. Москва) с регистрационным номером 1-01-03689-G-001D от 08.12.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 16:49
5,АО «Симпад»,ОГРН 1217700485628,ИНН 7720855411,"Банк России 28.04.2023 принял решение об отказе в государственной регистрации изменений в решение о выпуске обыкновенных акций Акционерного общества «Симпад» (г. Москва), регистрационный номер выпуска 1-01-01950-G.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 16:28
6,АО «Русатом РДС»,ОГРН 1227700129546,ИНН 9722017828,"Банк России 28.04.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Русатом РДС» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-02503-G-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 15:43
7,АО «ДСК «Говорово»,ОГРН 1227700341395,ИНН 9702043795,"Банк России 28.04.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Досугово-спортивный комплекс «Говорово» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-02985-G-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 15:21
8,АО «ЦИТ РЕГИОН»,ОГРН не присвоен,ИНН не присвоен,"Банк России 28.04.2023 принял решение о государственной регистрации выпуска обыкновенных акций Акционерного общества «Центр информационных технологий «РЕГИОН» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «Центр информационных технологий «РЕГИОН». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87532-H.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «Центр информационных технологий «РЕГИОН».
Решение в отношении ценных бумаг
Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 15:18
9,АО «РЕГИОН Инфраструктура»,ОГРН не присвоен,ИНН не присвоен,"Банк России 28.04.2023 принял решение о государственной регистрации выпуска обыкновенных акций Акционерного общества «РЕГИОН Инфраструктура» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «РЕГИОН Инфраструктура». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87531-H.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «РЕГИОН Инфраструктура».
Решение в отношении ценных бумаг
Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 13:39
10,АО «НПО ИТ»,ОГРН 1095018006555,ИНН 5018139517,"Банк России 28.04.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Научно-производственное объединение измерительной техники» (Московская обл.), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-13839-A-010D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,28.04.2023 13:23
11,АО «Томаровский АРЗ»,ОГРН 1023101455662,ИНН 3121060017,"Банк России 28.04.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных Акционерного общества «Томаровский авторемонтный завод» (Белгородская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-02-43341-А-001D.",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,28.04.2023 11:37
12,АО «ФК-АРЕНА»,ОГРН 1234400001846,ИНН 4400013643,"Банк России 28.04.2023 принял решение о государственной регистрации отчета об итогах выпуска акций обыкновенных Акционерного общества «ФК-АРЕНА» (Костромская область), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «ФК-АРЕНА», регистрационный номер выпуска 1-01-87491-H.",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,28.04.2023 11:37
13,"ЗАО ""НЕДВИЖИМОСТЬ ПРИКАМЬЯ"" ОГРН 1065902046968",ИНН 5902198541,,"Банк России 28.04.2023 принял решение о государственной регистрации изменений в решение о выпуске обыкновенных акций закрытого акционерного общества «НЕДВИЖИМОСТЬ ПРИКАМЬЯ», (Пермский край), государственный регистрационный номер выпуска 1-01-53052-К от 05.09.2006.",Решение в отношении ценных бумаг,Уральское главное управление Центрального банка Российской Федерации,28.04.2023 11:18
