,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «Полёт»,ОГРН 1026102907490,ИНН 6161029837,"Банк России 30.06.2023 принял решение об аннулировании государственного регистрационного номера 1-01-56595-Р от 18.04.2000, присвоенного выпуску акций обыкновенных Акционерного общества «Полёт» (прежнее наименование – Закрытое акционерное общество «Интерьер», Ростовская область), и присвоении указанному выпуску регистрационного номера 1-01-56695-Р.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.06.2023 17:50
1,АО «РусТрактор»,ОГРН,ИНН не присвоены,"Банк России 29.06.2023 принял решение о приостановлении эмиссии акций обыкновенных акционерного общества «Русский Трактор» (Чувашская Республика - Чувашия), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования общества с ограниченной ответственностью «Русский Трактор».",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,30.06.2023 17:03
2,АО «ТК «ШУПАШКАР»,ОГРН 1022100966502,ИНН 2127303786,"Банк России 29.06.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Торговый комплекс «ШУПАШКАР» (Чувашская Республика - Чувашия), размещенных путем обмена на акции акционерного общества, к которому осуществляется присоединение, долей участников в уставном капитале присоединяемого общества с ограниченной ответственностью, регистрационный номер дополнительного выпуска 1-01-50697-K-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,30.06.2023 16:49
3,АО «Леон»,ОГРН 1217700649308,ИНН 9703066386,"Банк России 30.06.2023 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Леон» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-02275-G-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.06.2023 16:47
4,АО «НефтеТрансСервис»,ОГРН 1067746129660,ИНН 7731537410,Банк России 30.06.2023 принял решение об аннулировании индивидуального кода 006D дополнительного выпуска обыкновенных акций Акционерного общества «НефтеТрансСервис» (Московская область) с регистрационным номером 1-01-59621-H-006D от 18.01.2023.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.06.2023 16:41
5,АО «НИИ «Полюс» им. М.Ф. Стельмаха»,ОГРН 1127746646510,ИНН 7728816598,Банк России 30.06.2023 принял решение об аннулировании индивидуального кода 007D дополнительного выпуска обыкновенных акций Акционерного общества «Научно-исследовательский институт «Полюс» им. М.Ф. Стельмаха» (г. Москва) с регистрационным номером 1-01-15162-A-007D от 11.03.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.06.2023 16:41
6,АО «Деметра»,ОГРН 1027739405572,ИНН 7723010211,Банк России 30.06.2023 принял решение об аннулировании индивидуального кода 004D дополнительного выпуска обыкновенных акций Акционерного общества «Деметра» (г. Москва) с регистрационным номером 1-01-11719-H-004D от 29.08.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.06.2023 16:40
7,АО «Светлячок»,ОГРН 1025004072642,ИНН 5032018602,Банк России 30.06.2023 принял решение об аннулировании индивидуального кода 003D дополнительного выпуска обыкновенных акций Акционерного общества «Светлячок» (Московская область) с регистрационным номером 1-01-08841-H-003D от 21.12.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.06.2023 16:39
8,АО «Гидравлик Русланд»,ОГРН не присвоен,ИНН не присвоен,"Банк России 30.06.2023 принял решение о государственной регистрации выпуска обыкновенных акций Акционерного общества «Гидравлик Русланд» (Московская область), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «Гидравлик Русланд». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87547-H. Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «Гидравлик Русланд».",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.06.2023 16:21
9,АО «ТрансГрупп»,ОГРН 5177746281631,ИНН 9710044802,"Банк России 30.06.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «ТрансГрупп» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-85383-H-002D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.06.2023 15:42
