,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «ОК «Чайка»,ОГРН 1142365000975,ИНН 2365023226,"Банк России 30.11.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных Акционерного общества «Оздоровительный комплекс «Чайка» (Краснодарский край), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-62833-Р-004D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.11.2023 19:11
1,АО «КОНЦЕРН «САРМАТ»,ОГРН 1026101344664,ИНН 6123010803,Банк России 30.11.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска акций обыкновенных Акционерного общества «КОНЦЕРН «САРМАТ» (Ростовская область) с регистрационным номером 1-01-60762-Р-001D от 18.04.2023.,Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.11.2023 19:11
2,АО «Ресурс Лиман»,ОГРН,ИНН не присвоены,"Банк России 30.11.2023 принял решение об отказе в государственной регистрации выпуска акций обыкновенных Акционерного общества «Ресурс Лиман» (Ростовская область), размещаемых путем приобретения акций единственным учредителем акционерного общества.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.11.2023 19:11
3,ОАО «Теучежскавтотранс»,ОГРН 1020100860944,ИНН 0107001335,"Банк России 30.11.2023 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска акций обыкновенных открытого акционерного общества «Теучежскавтотранс» (Республика Адыгея), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер  1-02-32635-Е-001D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.11.2023 19:11
4,АО «Чеченнефтехимпром»,ОГРН 1112031000806,ИНН 2013002224,"Банк России 30.11.2023 принял решение о государственной регистрации дополнительного выпуска акций обыкновенных Акционерного общества «Чеченнефтехимпром» (Чеченская Республика), размещаемых путем распределения среди акционеров. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-35400-Е-006D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.11.2023 19:11
5,АО «Родина»,ОГРН 1086149000409,ИНН 6149012499,Банк России 30.11.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска акций обыкновенных Акционерного общества «Родина» (Ростовская область) с регистрационным номером 1-01-35131-Е-001D от 14.02.2023.,Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.11.2023 19:11
6,АО «Жутовский элеватор»,ОГРН 1023405960698,ИНН 3421001206,"Банк России 30.11.2023 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска акций обыкновенных Акционерного общества «Жутовский элеватор» (Волгоградская область), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-31453-Е-001D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.11.2023 19:11
7,АО «ШАРД»,ОГРН 1227700522719,ИНН 9704159322,"Банк России 30.11.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «ШАРД» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-03336-G-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.11.2023 17:06
8,АО «Ремонтёр»,ОГРН не присвоен,ИНН не присвоен,"Банк России 30.11.2023 принял решение о государственной регистрации выпуска обыкновенных акций Акционерного общества «Ремонтёр» (г. Москва), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «Ремонтёр». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87625-H. Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «Ремонтёр».",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,30.11.2023 15:58
9,АО «Каршеринг Руссия»,ОГРН 1237700701534,ИНН 9718236471,"Банк России 30.11.2023 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций акционерного общества «Каршеринг Руссия» (г. Москва), размещенных путем обмена на них долей участников в уставном капитале реорганизованного в форме преобразования общества с ограниченной ответственностью «Каршеринг Руссия», регистрационный номер выпуска 1-01-16750-A.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.11.2023 15:11
10,АО «ПЗ «Торосово»,ОГРН 1024702010740,ИНН 4717001460,"Банк России 30.11.2023 принял решение о регистрации проспекта обыкновенных акций публичного акционерного общества «Племенной завод «Торосово» (Ленинградская область), регистрационный номер выпуска 1-01-05237-J от 22.09.1999.Решение о регистрации проспекта акций при приобретении обществом публичного статуса вступает в силу со дня внесения в единый государственный реестр юридических лиц сведений о фирменном наименовании общества, содержащем указание на то, что общество является публичным.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.11.2023 15:11
11,АО «Сельхозпредприятие Андреевское»,ОГРН 1024701848852,ИНН 4715003007,"Банк России 30.11.2023 принял решение о регистрации проспекта обыкновенных акций публичного акционерного общества «Сельскохозяйственное предприятие Андреевское» (Ленинградская область), государственный регистрационный номер выпуска 1-02-16041-J от 24.12.2004.Решение о регистрации проспекта акций при приобретении обществом публичного статуса вступает в силу со дня внесения в единый государственный реестр юридических лиц сведений о фирменном наименовании общества, содержащем указание на то, что общество является публичным.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.11.2023 15:10
12,ПАО «ГМК «Норильский никель»,ОГРН 1028400000298,ИНН 8401005730,"Банк России 30.11.2023 принял решение о государственной регистрации выпусков неконвертируемых процентных бездокументарных облигаций серий ЗО25-Д и ЗО26-Д публичного акционерного общества «Горно-металлургическая компания «Норильский никель» (Красноярский край), размещаемых путем открытой подписки. Выпускам ценных бумаг присвоены регистрационные номера 4-05-40155-F и 4-06-40155-F.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.11.2023 15:10
13,ООО «СФО «НитроФинанс»,ОГРН 1237700579379,ИНН 9714018521,"Банк России 30.11.2023 принял решение о государственной регистрации выпуска структурных неконвертируемых процентных бездокументарных облигаций с залоговым обеспечением серии 01, предназначенных для квалифицированных инвесторов, общества с ограниченной ответственностью «Специализированное финансовое общество «НитроФинанс» (г. Москва), размещаемых путем закрытой подписки. Выпуску ценных бумаг присвоен регистрационный номер 6-01-00746-R.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.11.2023 15:10
