,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом,представленных ООО «УК СГБ»,,Банк России 29.09.2023 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Закрытый паевой инвестиционный фонд недвижимости «Большой Урал».,Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,29.09.2023 18:17
1,АО «Сафьян»,ОГРН 1021603063283,ИНН 1656015299,"Банк России 29.09.2023 принял решение о государственной регистрации дополнительного выпуска акций обыкновенных акционерного общества «Сафьян» (Республика Татарстан), размещаемых путем конвертации в размещаемые ценные бумаги конвертируемых ценных бумаг. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-50037-А.Банк России 29.09.2023 принял решение о государственной регистрации изменений в решение о выпуске акций привилегированных акционерного общества «Сафьян» (Республика Татарстан), государственный регистрационный номер выпуска 2-01-50037-A, дата государственной регистрации выпуска 05.06.1996, путем регистрации решения о выпуске ценных бумаг.
Решение в отношении ценных бумаг
Волго-Вятское главное управление Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,29.09.2023 17:00
2,АО «Раменская теплосеть»,ОГРН 1115040008621,ИНН 5040109331,Банк России 29.09.2023 принял решение об аннулировании индивидуального кода 005D дополнительного выпуска обыкновенных акций Акционерного общества «Раменская теплосеть» (Московская область) с регистрационным номером 1-04-14718-A-005D от 30.03.2023.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.09.2023 15:40
3,АО «Раменская теплосеть»,ОГРН 1115040008621,ИНН 5040109331,Банк России 29.09.2023 принял решение об аннулировании индивидуального кода 004D дополнительного выпуска обыкновенных акций Акционерного общества «Раменская теплосеть» (Московская область) с регистрационным номером 1-04-14718-A-004D от 30.03.2023.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.09.2023 15:38
4,АО «Раменская теплосеть»,ОГРН 1115040008621,ИНН 5040109331,Банк России 29.09.2023 принял решение об аннулировании индивидуального кода 003D дополнительного выпуска обыкновенных акций Акционерного общества «Раменская теплосеть» (Московская область) с регистрационным номером 1-04-14718-A-003D от 30.03.2023.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.09.2023 15:35
5,АО «Раменская теплосеть»,ОГРН 1115040008621,ИНН 5040109331,Банк России 29.09.2023 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций Акционерного общества «Раменская теплосеть» (Московская область) с регистрационным номером 1-04-14718-A-002D от 30.03.2023.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.09.2023 15:34
6,АО «Раменская теплосеть»,ОГРН 1115040008621,ИНН 5040109331,Банк России 29.09.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Акционерного общества «Раменская теплосеть» (Московская область) с регистрационным номером 1-04-14718-A-001D от 30.03.2023.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.09.2023 15:33
7,АО «Пегас»,ОГРН 1207700139360,ИНН 9731062489,Банк России 29.09.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Акционерного общества «Пегас» (г. Москва) с регистрационным номером 1-01-00077-G-001D от 28.08.2020.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.09.2023 15:31
8,АО «Мотор-Супер»,ОГРН 1026301996962,ИНН 6320005295,"Банк России 29.09.2023 принял решение о возобновлении эмиссии и государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Мотор-Супер» (Самарская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-00776-P-002D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,29.09.2023 15:09
9,О регистрации правил доверительного управления паевым инвестиционным фондом,представленных ООО УК «Эра Инвестиций»,,Банк России 29.09.2023 принял решение зарегистрировать правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Закрытый паевой инвестиционный фонд недвижимости «Коммерческие метры».,Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,29.09.2023 15:02
10,"АО ""МАУ""",ОГРН 1060274000192,ИНН 0274108180,"Банк России 29.09.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества ""Международный аэропорт ""Уфа"" (Республика Башкортостан), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-03442-E-010D.",Решение в отношении ценных бумаг,Уральское главное управление Центрального банка Российской Федерации,29.09.2023 14:19
11,АО «СЕВАСТОПОЛЬ-БАКАЛЕЯ»,ОГРН 1149204044626,ИНН 9204021090,"Банк России 29.09.2023 принял решение о регистрации проспекта обыкновенных акций ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА «СЕВАСТОПОЛЬ-БАКАЛЕЯ» (г. Севастополь), регистрационный номер выпуска 1-01-50246-А.Решение о регистрации проспекта акций при приобретении обществом публичного статуса вступает в силу со дня внесения в единый государственный реестр юридических лиц сведений о фирменном наименовании общества, содержащем указание на то, что общество является публичным.
Решение в отношении ценных бумаг
Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации,29.09.2023 14:09
12,АО «ТАВРИЯ»,ОГРН 1149204032845,ИНН 9203004575,"Банк России 29.09.2023 принял решение о регистрации проспекта обыкновенных акций ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА «ТАВРИЯ» (г. Севастополь), регистрационный номер выпуска 1-01-50291-А.Решение о регистрации проспекта акций при приобретении обществом публичного статуса вступает в силу со дня внесения в единый государственный реестр юридических лиц сведений о фирменном наименовании общества, содержащем указание на то, что общество является публичным.
Решение в отношении ценных бумаг
Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации,29.09.2023 14:09
13,АО «ПОСБОН»,ОГРН 1035005501574,ИНН 5029044257,"Банк России 29.09.2023 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Производственное объединение специализированного бытового обслуживания населения» (Московская область), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-04974-A-002D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.09.2023 13:20
14,АО «ЯРДОРМОСТ»,ОГРН 1187627037070,ИНН 7627051656,Банк России 29.09.2023 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций Акционерного общества «ЯРДОРМОСТ» (Ярославская область) с регистрационным номером 1-01-86067-Н-002D от 20.09.2022.,Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,29.09.2023 10:20
15,АО «АКВА ЛАБОРАТОРИЯ»,ОГРН и ИНН не присвоены,,"Банк России 29.09.2023 принял решение о государственной регистрации выпуска акций обыкновенных Акционерного общества «АКВА ЛАБОРАТОРИЯ» (Воронежская область), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «АКВА ЛАБОРАТОРИЯ». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87592-H.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «АКВА ЛАБОРАТОРИЯ».
Решение в отношении ценных бумаг
Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,29.09.2023 10:20
