,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «Павловское ПАП»,ОГРН,ИНН не присвоены,"Банк России 30.08.2024 принял решение о государственной регистрации выпуска акций обыкновенных акционерного общества «Павловское пассажирское автотранспортное предприятие» (Нижегородская область), размещаемых путем приобретения акций акционерного общества, создаваемого в результате преобразования, муниципальным образованием, являющимся собственником имущества реорганизуемого в форме преобразования муниципального унитарного предприятия «Павловское пассажирское автотранспортное предприятие». Выпуску ценных бумаг присвоен регистрационный номер 1-01-10902-P. Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации акционерного общества «Павловское пассажирское автотранспортное предприятие».
Решение в отношении ценных бумаг
Волго-Вятское главное управление Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,30.08.2024 15:15
1,"ПАО ""Вента"" ОГРН 1026601483556",ИНН 6624002377,,"Банк России 30.08.2024 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций публичного акционерного общества ""Нижнетуринский машиностроительный завод ""Вента"" (на дату регистрации дополнительного выпуска  ценных бумаг - открытое акционерное общество ""Нижнетуринский машиностроительный завод ""Вента""), (Свердловская область), с регистрационным номером 1-01-30464-D-001D от 02.02.2024.",Решение в отношении ценных бумаг,Уральское главное управление Центрального банка Российской Федерации,30.08.2024 13:39
2,АО «СК Алтайкрайэнерго»,ОГРН 1102224005718,ИНН 2224143922,"Банк России 30.08.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «Сетевая компания Алтайкрайэнерго» (Алтайский край), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-13008-F-006D.",Решение в отношении ценных бумаг,Сибирское главное управление Центрального банка Российской Федерации,30.08.2024 11:49
3,АО «Кволити +»,ОГРН 1227700203103,ИНН 9703083021,"Банк России 29.08.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «Кволити +» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-02655-G-001D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.08.2024 10:53
4,МКПАО «ЯНДЕКС»,ОГРН 1233900014699,ИНН 3900019850,"Банк России 29.08.2024 принял решение о государственной регистрации изменений в решение о выпуске привилегированных акций типа «Б» международной компании публичного акционерного общества «ЯНДЕКС» (Калининградская область), регистрационный номер выпуска 2-02-16777-A.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.08.2024 10:53
5,МКПАО «ЯНДЕКС»,ОГРН 1233900014699,ИНН 3900019850,"Банк России 29.08.2024 принял решение о государственной регистрации выпуска привилегированных акций типа «Г», размещаемых путем закрытой подписки, и дополнительного выпуска обыкновенных акций, размещаемых путем конвертации в них конвертируемых привилегированных акций типа «Г», международной компании публичного акционерного общества «ЯНДЕКС» (Калининградская область). Выпуску и дополнительному выпуску ценных бумаг присвоены регистрационные номера 2-03-16777-A и 1-01-16777-A соответственно.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.08.2024 10:53
6,АО «УК ЖКХ»,ОГРН не присвоен,ИНН не присвоен,"Банк России 29.08.2024 принял решение о государственной регистрации выпуска обыкновенных акций акционерного общества «Управляющая компания жилищно-коммунального хозяйства» Ленинского городского округа Московской области (Московская область), размещаемых путем приобретения акций акционерного общества, создаваемого в результате преобразования, муниципальным образованием, являющимся собственником имущества реорганизуемого в форме преобразования муниципального унитарного предприятия «Управляющая компания жилищно-коммунального хозяйства» Ленинского городского округа Московской области. Выпуску ценных бумаг присвоен регистрационный номер 1-01-16897-A. Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации акционерного общества «Управляющая компания жилищно-коммунального хозяйства» Ленинского городского округа Московской области.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.08.2024 10:53
7,АО «ГК «Бинергия»,ОГРН 1227700486771,ИНН 9704156258,"Банк России 29.08.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «Группа компаний «Бинергия» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-03256-G-002D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.08.2024 10:53
8,АО «ПремьерСтрой»,ОГРН 1067761227522,ИНН 7727597978,Банк России 29.08.2024 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций непубличного акционерного общества «ПремьерСтройДизайн» (г. Москва) с регистрационным номером 1-01-66653-H-002D от 10.04.2024.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.08.2024 10:53
9,АО «МОСГАЗ»,ОГРН 1127747295686,ИНН 7709919968,Банк России 29.08.2024 принял решение об аннулировании индивидуального кода 009D дополнительного выпуска обыкновенных акций акционерного общества «МОСГАЗ» (г. Москва) с регистрационным номером 1-01-55519-E-009D от 15.04.2024.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,30.08.2024 10:53
