,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,"АО ""НПФ Совкомбанк"" ОГРН не присвоен",ИНН не присвоен,,"Банк России 31.07.2024 принял решение о государственной регистрации выпуска обыкновенных акций Акционерного общества ""Негосударственный пенсионный фонд Совкомбанк"" (г. Москва), размещаемых путем приобретения акций единственным учредителем акционерного общества. Выпуску ценных бумаг присвоен регистрационный номер 1-01-16842-А.Решение о регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества ""Негосударственный пенсионный фонд Совкомбанк"".
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 13:19
1,АО «ВОДТРАНСПРИБОР»,ОГРН 1027807566753,ИНН 7814010307,"Банк России 30.07.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций АКЦИОНЕРНОГО ОБЩЕСТВА «ВОДТРАНСПРИБОР» (Санкт-Петербург), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-01541-D-001D.",Решение в отношении ценных бумаг,Северо-Западное главное управление Центрального банка Российской Федерации,31.07.2024 11:26
2,АО «Норд-Овощ»,ОГРН 1027802493828,ИНН 7804080182,"Банк России 30.07.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «Норд-Овощ» (Санкт-Петербург), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-03918-J-001D.",Решение в отношении ценных бумаг,Северо-Западное главное управление Центрального банка Российской Федерации,31.07.2024 11:26
3,АО «ФНМ»,ОГРН 1057812106505,ИНН 7805377820,"Банк России 30.07.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций  Акционерного общества «Фабрика нетканых материалов» (Санкт-Петербург), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-03-03608-D-002D.",Решение в отношении ценных бумаг,Северо-Западное главное управление Центрального банка Российской Федерации,31.07.2024 11:26
4,АО «ОАПХ»,ОГРН 1115836007682,ИНН 5836648185,"Банк России 30.07.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Областной агропромышленный холдинг» (Пензенская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-04644-E-007D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.07.2024 10:30
5,АО «Владагролизинг»,ОГРН 1043302005482,ИНН 3328431290,Банк России 31.07.2024 принял решение об аннулировании индивидуального кода 023D дополнительного выпуска обыкновенных акций Акционерного общества «Владагролизинг» (Владимирская область) с регистрационным номером 1-01-09879-A-023D от 22.03.2024.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 09:24
6,АО «Тверьгорэлектро»,ОГРН 1226900000909,ИНН 6950257206,Банк России 31.07.2024 принял решение об аннулировании индивидуального кода 003D дополнительного выпуска обыкновенных акций Акционерного общества «Тверьгорэлектро» (Тверская область) с регистрационным номером 1-01-87350-Н-003D от 16.02.2024.,Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 09:24
7,АО «Центральное ДСУ Алтайского края»,ОГРН,ИНН не присвоены,"Банк России 31.07.2024 принял решение о государственной регистрации выпуска обыкновенных акций акционерного общества «Центральное дорожно-строительное управление Алтайского края» (Алтайский край), размещаемых путем приобретения акций акционерного общества, создаваемого в результате преобразования, субъектом Российской Федерации, являющимся собственником имущества реорганизуемого в форме преобразования Государственного унитарного предприятия дорожного хозяйства Алтайского края «Центральное дорожно-строительное управление». Выпуску ценных бумаг присвоен регистрационный номер 1-01-36334-N.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации акционерного общества «Центральное дорожно-строительное управление Алтайского края».
Решение в отношении ценных бумаг
Сибирское главное управление Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Сибирское главное управление Центрального банка Российской Федерации,31.07.2024 09:00
8,АО «ТРАНСЕРВИС»,ОГРН 1025403197434,ИНН 5407181328,"Банк России 31.07.2024 принял решение о государственной регистрации изменений в решение о выпуске привилегированных акций акционерного общества «ТРАНСЕРВИС» (Новосибирская область), государственный регистрационный номер выпуска 2-01-10010-F от 04.02.2000.",Решение в отношении ценных бумаг,Сибирское главное управление Центрального банка Российской Федерации,31.07.2024 08:59
9,АО «ЦЭНКИ» ОГРН 1207700033760,ИНН 9702013720,,"Банк России 30.07.2024 принял решение о государственной регистрации изменений в документ, содержащий условия размещения обыкновенных акций акционерного общества «Центр эксплуатации объектов наземной космической инфраструктуры» (г. Москва), регистрационный номер дополнительного выпуска 1-01-16660-А-002D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 16:10
10,ПАО «Россети»,ОГРН 1024701893336,ИНН 4716016979,"Банк России 30.07.2024 принял решение о государственной регистрации изменений в документ, содержащий условия размещения обыкновенных акций публичного акционерного общества «Федеральная сетевая компания – Россети» (г. Москва), регистрационный номер дополнительного выпуска 1-01-65018-D-109D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 10:42
11,АО «Фарм-Синтез»,ОГРН 1037739009406,ИНН 7713154020,"Банк России 30.07.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций акционерного общества «ФармСинтез» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-06660-H-004D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 10:42
12,ПАО «Яковлев»,ОГРН 1023801428111,ИНН 3807002509,"Банк России 30.07.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций публичного акционерного общества«Яковлев» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-03-00040-A-011D.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 10:41
13,АО «СиСофт Девелопмент»,ОГРН 10677463357411,ИНН 7722570620,"Банк России 30.07.2024 принял решение о приостановлении эмиссии обыкновенных акций акционерного общества «СиСофт Девелопмент» (г. Москва), размещаемых путем закрытой подписки.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 10:41
14,ПАО «Корпоративный центр ИКС 5»,ОГРН 1247700463911,ИНН 9722079341,"Банк России 30.07.2024 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций публичного акционерного общества «Корпоративный центр ИКС 5» (г. Москва), размещенных путем обмена на акции акционерного общества, созданного в результате преобразования, долей участников в уставном капитале реорганизованного в форме преобразования общества с ограниченной ответственностью «Корпоративный центр ИКС 5», регистрационный номер выпуска 1-01-16812-А.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 10:41
15,ООО «СФО ВТБ РКС Эталон»,ОГРН 1227700383074,ИНН 9704147373,"Банк России 30.07.2024 принял решение о государственной регистрации изменений в решение о выпуске неконвертируемых процентных бездокументарных облигаций с залоговым обеспечением денежными требованиями серии 01, размещенных в рамках программы облигаций серии 001P, общества с ограниченной ответственностью «Специализированное финансовое общество ВТБ РКС Эталон» (г. Москва), регистрационный номер выпуска 4-01-00668-R-001P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 10:41
16,АО «ГС-Фасад»,ОГРН 1025001545843,ИНН 5012007218,"Банк России 30.07.2024 принял решение о государственной регистрации выпуска привилегированных акций акционерного общества «ГС-Фасад» (г. Москва),размещаемых путем закрытой подписки. Выпуску ценных бумаг присвоен регистрационный номер 2-01-09855-A.
Решение в отношении ценных бумаг
Департамент корпоративных отношений",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.07.2024 10:41
17,АО «Сервис-центр» г. Ростова-на-Дону,ОГРН 1246100016788,ИНН 6164144820,"Банк России 30.07.2024 принял решение о государственной регистрации отчета об итогах выпуска акций обыкновенных Акционерного общества «Сервис-центр» г. Ростова-на-Дону (Ростовская область), размещенных путем приобретения акций акционерного общества, создаваемого в результате преобразования, Российской Федерацией, субъектом Российской Федерации или муниципальным образованием, являющимся собственником имущества реорганизуемого в форме преобразования Муниципального унитарного предприятия «Сервис-центр» г. Ростова-на-Дону, регистрационный номер выпуска 1-01-10889-Р.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.07.2024 18:38
18,АО «Борми»,ОГРН 1021500772435,ИНН 1504027814,"Банк России 30.07.2024 принял решение о возобновлении эмиссии и государственной регистрации выпуска и отчета об итогах выпуска акций обыкновенных Акционерного общества «Борми» (Республика Северная Осетия-Алания), размещенных путем распределения акций среди учредителей акционерного общества. Выпуску ценных бумаг присвоен регистрационный номер 1-01-10899-Р.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.07.2024 18:38
19,АО «РОСТОВГАЗСТРОЙ»,ОГРН 1026103164196,ИНН 6163007765,Банк России 30.07.2024 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска акций обыкновенных Акционерного общества «РОСТОВГАЗСТРОЙ» (Ростовская область) с регистрационным номером 1-02-61322-Р-001D от 10.10.2023.,Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.07.2024 18:38
20,АО «Красный гидропресс»,ОГРН 1026102576444,ИНН 6154082903,"Банк России 30.07.2024 принял решение о государственной регистрации изменений в документ, содержащий условия размещения акций обыкновенных Акционерного общества «Красный гидропресс» (Ростовская область), регистрационный номер дополнительного выпуска 1-01-33508-Е-006D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.07.2024 18:38
