,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,ППК «Российский экологический оператор»,ОГРН 1197746250030,ИНН 7703474222,"Банк России 31.05.2023 принял решение о государственной регистрации выпуска неконвертируемых процентных бездокументарных облигаций серии 04-КИ, предназначенных для квалифицированных инвесторов, публично-правовой компании по формированию комплексной системы обращения с твердыми коммунальными отходами «Российский экологический оператор» (г. Москва), размещаемых путем закрытой подписки. Выпуску ценных бумаг присвоен регистрационный номер 4-06-00009-Т.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2023 17:47
1,ПАО «БКСМ»,ОГРН 1027700313486,ИНН 7715008441,"Банк России 31.05.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Публичного акционерного общества «Бескудниковский комбинат строительных материалов» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-04438-A-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.05.2023 17:18
2,АО «ДЕЛОВОЙ ПРОФИЛЬ Консалтинг»,ОГРН 1237700065415,ИНН 9717128642,"Банк России 31.05.2023 принял решение о возобновлении эмиссии и государственной регистрации отчета об итогах выпуска обыкновенных акций Акционерного общества «ДЕЛОВОЙ ПРОФИЛЬ Консалтинг» (г. Москва), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «ДЕЛОВОЙ ПРОФИЛЬ Консалтинг», регистрационный номер выпуска 1-01-87393-H.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.05.2023 17:07
3,АО «ФИНОР»,ОГРН 1216300012147,ИНН 6316270928,"Банк России 31.05.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «ФИНОР» (Самарская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-01098-G-003D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.05.2023 16:47
4,АО «Волжский ювелир»,ОГРН 1025202395437,ИНН 5257005793,"Банк России 31.05.2023 принял решение о возобновлении эмиссии и государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных непубличного акционерного общества «Волжский ювелир» (Нижегородская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-10471-E-002D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.05.2023 16:47
5,АО «БАХЧИСАРАЙСКОЕ АТП № 14340»,ОГРН 1149102083371,ИНН 9104001710,Банк России 31.05.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций АКЦИОНЕРНОГО ОБЩЕСТВА «БАХЧИСАРАЙСКОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ № 14340» (Республика Крым) с регистрационным номером 1-01-50459-А-001D от 31.01.2022.,Решение в отношении ценных бумаг,Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации,31.05.2023 14:36
6,АО «ЦБТ»,ОГРН 1227700243748,ИНН 9705169387,"Банк России 31.05.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Центр биометрических технологий» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-87358-H-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.05.2023 13:52
7,"АО ""ГДК ""Берелех"" ОГРН 1024900949919",ИНН 4905006253,,"Банк России 31.05.2023 принял решение о государственной регистрации изменений в документ, содержащий условия размещения акций обыкновенных акционерного общества ""Горно-добывающая компания ""Берелех"" (Магаданская область), регистрационный номер дополнительного выпуска 1-01-31264-F-002D.",Решение в отношении ценных бумаг,Дальневосточное главное управление Центрального банка Российской Федерации,31.05.2023 11:05
8,Банк ВТБ (ПАО),ОГРН 1027739609391,ИНН 7702070139,"Банк России 31.05.2023 принял решение о государственной регистрации выпусков структурных процентных дисконтных неконвертируемых бездокументарных облигаций с централизованным учетом прав серий С-1-541, С-1-542, С-1-543, С-1-544, С-1-545, С-1-546, С-1-547, С-1-548, С-1-549, С-1-550, С-1-551, С-1-552, С-1-553, С-1-554, С-1-555, С-1-556, С-1-557, С-1-558, С-1-559, С-1-560, размещаемых в рамках программы облигаций Банка ВТБ (публичное акционерное общество) (г. Санкт-Петербург). Выпускам ценных бумаг присвоены регистрационные номера 6-541-01000-В-001Р, 6-542-01000-В-001Р, 6-543-01000-В-001Р, 6-544-01000-В-001Р, 6-545-01000-В-001Р, 6-546-01000-В-001Р, 6-547-01000-В-001Р, 6-548-01000-В-001Р, 6-549-01000-В-001Р, 6-550-01000-В-001Р, 6-551-01000-В-001Р, 6-552-01000-В-001Р, 6-553-01000-В-001Р, 6-554-01000-В-001Р, 6-555-01000-В-001Р, 6-556-01000-В-001Р, 6-557-01000-В-001Р, 6-558-01000-В-001Р, 6-559-01000-В-001Р и 6-560-01000-В-001Р соответственно.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.05.2023 10:48
9,АО «Белокопанское»,ОГРН 1082643000681,ИНН 2602006532,Банк России 30.05.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска акций обыкновенных Акционерного общества «Белокопанское» (Ставропольский край) с регистрационным номером 1-01-35124-E-001D от 01.11.2022.,Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,30.05.2023 17:50
