,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «Атлантик Хелскер»,ОГРН 1027700060893,ИНН 7706270227,Банк России 31.03.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Акционерного общества «Атлантик Хелскер» (г. Москва) с регистрационным номером 1-01-37278-H-001D от 01.09.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.03.2023 17:36
1,ПАО «Трехгорная мануфактура»,ОГРН 1027700081892,ИНН 7703043089,Банк России 31.03.2023 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций Публичного акционерного общества «Трехгорная мануфактура» (г. Москва) с регистрационным номером 1-02-01247-A-001D от 11.03.2022.,Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.03.2023 17:35
2,АО «РН-Москва»,ОГРН 1027739382890,ИНН 7706091500,"Банк России 31.03.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «РН-Москва» (г. Москва), размещаемых путем обмена на акции акционерного общества, к которому осуществляется присоединение, долей участников в уставном капитале присоединяемого Общества с ограниченной ответственностью «РН-Югра». Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-02277-A-006D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.03.2023 15:08
3,АО «ДМТ»,ОГРН 1237700160081,ИНН 9706031261,"Банк России 31.03.2023 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций Акционерного общества «ДЭЛМАР ТРЕЙДИНГ» (г. Москва), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «ДэлМар Трейдинг», регистрационный номер выпуска 1-01-87475-H.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.03.2023 13:59
4,АО «Память Ленина»,ОГРН,ИНН не присвоены,"Банк России 31.03.2023 принял решение о государственной регистрации выпуска акций обыкновенных Акционерного общества «Память Ленина» (Брянская область), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, паев членов реорганизуемого в форме преобразования Колхоза «Память Ленина». Выпуску ценных бумаг присвоен регистрационный номер 1-01-87519-H.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «Память Ленина».
Решение в отношении ценных бумаг
Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,31.03.2023 12:40
5,АО «Корпорация развития Орловской области»,ОГРН 1115753001385,ИНН 5753056072,"Банк России 31.03.2022 принял решение о государственной регистрации изменений в документ, содержащий условия размещения акций обыкновенных Акционерного общества «Корпорация развития Орловской области» (Орловская область), регистрационный номер дополнительного выпуска 1-01-43871-А-004D.",Решение в отношении ценных бумаг,Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу,31.03.2023 12:40
6,АО «Коммунальные сети Мензелинского района»,ОГРН 1061682045281,ИНН 1628006905,"Банк России 31.03.2023 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска акций обыкновенных акционерного общества «Коммунальные сети Мензелинского района» (Республика Татарстан), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-56971-D-003D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.03.2023 12:00
7,АО «РТФ»,ОГРН 1227700375210,ИНН 7736342013,"Банк России 31.03.2023 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «РТФ» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-03021-G-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.03.2023 11:53
