,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «СИСТЕМНАЯ ИНЖЕНЕРИЯ»,ОГРН,ИНН не присвоены,"Банк России 31.10.2024 принял решение о государственной регистрации выпуска акций обыкновенных Акционерного общества «СИСТЕМНАЯ ИНЖЕНЕРИЯ» (Краснодарский край), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «СИСТЕМНАЯ ИНЖЕНЕРИЯ». Выпуску ценных бумаг присвоен регистрационный номер 1-01-10947-P. Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации Акционерного общества «СИСТЕМНАЯ ИНЖЕНЕРИЯ».
Решение в отношении ценных бумаг
Южное главное управление Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,01.11.2024 12:15
1,АО «Игрушка»,ОГРН 1023403432007,ИНН 3444026133,"Банк России 31.10.2024 принял решение о приостановлении эмиссии акций привилегированных Акционерного общества «Игрушка» (Волгоградская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 2-01-45720-Е-001D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,01.11.2024 12:15
2,АО «ФНМ»,ОГРН 1057812106505,ИНН 7805377820,Банк России 31.10.2024 принял решение об аннулировании индивидуального кода 002D дополнительного выпуска обыкновенных акций Акционерного общества «Фабрика нетканых материалов» с регистрационным номером 1-03-03608-D-002D от 26.04.2024.,Решение в отношении ценных бумаг,Северо-Западное главное управление Центрального банка Российской Федерации,31.10.2024 14:25
3,АО «РГО Архангельской области»,ОГРН 1212900001467,ИНН 2901304801,Банк России 31.10.2024 принял решение об аннулировании индивидуального кода 004D дополнительного выпуска обыкновенных акций акционерного общества «Гарантийная организация Архангельской области» с регистрационным номером 1-01-31451-J-004D от 15.05.2024.,Решение в отношении ценных бумаг,Северо-Западное главное управление Центрального банка Российской Федерации,31.10.2024 14:25
4,АО «Вологдагортеплосеть»,ОГРН 1183525037596,ИНН 3525432983,"Банк России 31.10.2024 принял решение о приостановлении эмиссии обыкновенных акций Акционерного общества «Вологдагортеплосеть» (Вологодская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-24670-J-002D.",Решение в отношении ценных бумаг,Северо-Западное главное управление Центрального банка Российской Федерации,31.10.2024 14:25
5,АО «АТРИУМ»,ОГРН 1067105008420,ИНН 7105037353,"Банк России 31.10.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных Акционерного общества «АТРИУМ» (Тульская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-61893-Н-001D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,31.10.2024 14:05
6,О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом,представленных ООО «Северо-западная управляющая компания»,,Банк России 31.10.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Открытый паевой инвестиционный фонд рыночных финансовых инструментов «Премиум».,Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,31.10.2024 14:04
7,О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом,представленных ООО «Т-Капитал»,,Банк России 31.10.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Биржевой паевой инвестиционный фонд рыночных финансовых инструментов «Тинькофф Индекс МосБиржи».,Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,31.10.2024 14:04
8,О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом,представленных АО УК «Первая»,,Банк России 31.10.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Биржевой паевой инвестиционный фонд рыночных финансовых инструментов «Первая – Фонд Облигации с переменным купоном».,Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,31.10.2024 14:04
9,О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами,представленных ООО «УК «ДОХОДЪ»,,"Банк России 31.10.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями: Открытый паевой инвестиционный фонд рыночных финансовых инструментов «ДОХОДЪ. Будущее 2035»; Открытый паевой инвестиционный фонд рыночных финансовых инструментов «ДОХОДЪ. Будущее 2045»;Открытый паевой инвестиционный фонд рыночных финансовых инструментов «ДОХОДЪ. Будущее 2040».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



1131.10.2024 14:04
О регистрации правил доверительного управления паевым инвестиционным фондом, представленных АО УК «БКС»О регистрации правил доверительного управления паевым инвестиционным фондом, представленных АО УК «БКС»
Банк России 31.10.2024 принял решение зарегистрировать правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Биржевой паевой инвестиционный фонд рыночных финансовых инструментов «БКС Индекс Российского рынка».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



1231.10.2024 14:04
О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных ООО «УК ПРОМСВЯЗЬ»О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных ООО «УК ПРОМСВЯЗЬ»
Банк России 31.10.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Открытый паевой инвестиционный фонд рыночных финансовых инструментов «Финансовый поток».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



1331.10.2024 14:04
О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных  ООО «УК «ЭнергоИнвестКапитал»О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных  ООО «УК «ЭнергоИнвестКапитал»
Банк России 31.10.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Закрытый паевой инвестиционный фонд недвижимости «Шаляпин».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



1431.10.2024 14:04
