,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
0,АО «Тарки-Тау»,ОГРН 1020502527517,ИНН 0541001675,"Банк России 31.01.2023 принял решение о государственной регистрации изменений в решение о выпуске акций обыкновенных Акционерного общества «Тарки-Тау» (Республика Дагестан), государственный регистрационный номер выпуска 1-01-09324-Р.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,31.01.2023 18:26
1,АО «Абинскагропромтранс»,ОГРН 1022303380110,ИНН 2323003147,"Банк России 31.01.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных Акционерного общества «Абинскагропромтранс» (Краснодарский край), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-06317-Е-001D.",Решение в отношении ценных бумаг,Южное главное управление Центрального банка Российской Федерации,31.01.2023 18:26
2,АО «ЗНДК»,ОГРН 1025001205173,ИНН 5008001196,"Банк России 31.01.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Завод нестандартных деревянных конструкций» (Московская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-02-01030-A-002D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.01.2023 16:54
3,АО «МосИнвест»,ОГРН 1237700014947,ИНН 7716976580,"Банк России 31.01.2023 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций Акционерного общества «МосИнвест» (г. Москва), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования Общества с ограниченной ответственностью «МосИнвест», регистрационный номер выпуска 1-01-87446-Н.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,31.01.2023 16:48
4,АО «Теплосеть»,ОГРН,ИНН не присвоены,"Банк России 31.01.2023 принял решение о приостановлении эмиссии акций обыкновенных акционерного общества «Теплосеть» (Чувашская Республика-Чувашия), размещаемых путем приобретения акций акционерного общества, создаваемого в результате преобразования, муниципальным образованием, являющимся собственником имущества реорганизуемого в форме преобразования муниципального унитарного предприятия «Теплосеть» муниципального образования города Чебоксары – столицы Чувашской Республики.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.01.2023 16:48
5,АО «Вурнарский мясокомбинат»,ОГРН 1022102030389,ИНН 2104000312,"Банк России 31.01.2023 принял решение о государственной регистрации дополнительного выпуска акций обыкновенных акционерного общества «Вурнарский мясокомбинат» (Чувашская Республика - Чувашия), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-02-55428-D-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.01.2023 16:47
6,АО «Образцофф»,ОГРН,ИНН не присвоены,"Банк России 31.01.2023 принял решение об аннулировании решения Банка России от 25.01.2022 о государственной регистрации выпуска акций обыкновенных акционерного общества «Образцофф» (Пензенская область), регистрационный номер выпуска 1-01-10742-P, в связи с неосуществлением государственной регистрации акционерного общества «Образцофф», создаваемого при учреждении акционерного общества.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.01.2023 16:47
7,АО «Пензгорстройзаказчик»,ОГРН 1195835005046,ИНН 5836689368,"Банк России 31.01.2023 принял решение о возобновлении эмиссии и государственной регистрации дополнительного выпуска акций обыкновенных акционерного общества «Пензгорстройзаказчик» (Пензенская область), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-01-09917-Р-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.01.2023 16:47
8,АО «Иннополис Девелопмент»,ОГРН 1221600072979,ИНН 1683008460,"Банк России 31.01.2023 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Иннополис Девелопмент» (Республика Татарстан), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-03404-G-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,31.01.2023 16:47
9,АО «Гостиница «Севастополь» и СПА»,ОГРН,ИНН не присвоены,"Банк России 31.01.2023 принял решение о государственной регистрации выпуска акций обыкновенных акционерного общества «Гостиница «Севастополь» и СПА» (г.Севастополь), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей в уставном капитале участников преобразуемого в него общества с ограниченной ответственностью «Гостиница «Севастополь» и СПА». Выпуску ценных бумаг присвоен регистрационный номер 1-01-16730-А.Решение о государственной регистрации указанного выпуска ценных бумаг вступает в силу с даты государственной регистрации акционерного общества «Гостиница «Севастополь» и СПА».
Решение в отношении ценных бумаг
Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации",Решение в отношении ценных бумаг,Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации,31.01.2023 16:34
