,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
388,RU000A10A794,2 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""АвтоМоё Опт""",5905058800,Биржевые облигации процентные неконвертируемые бездокументарные серии БО-01,Бездокументарная,С централизованным учетом,4B02-01-00176-L,30 сентября 2024 г.,100.00,Юань,31 мая 2028 г.,,,,,,,,
475,RU000A10A2X1,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Теллуриум""",9729343098,Структурные процентные или дисконтные неконвертируемые бездокументарные облигации серии СП-1-CLN-1 с залоговым обеспечением,Бездокументарная,С централизованным учетом,6-05-00731-R-001P,7 ноября 2024 г.,,Юань,,,,,,,,,
477,RU000A10A2P7,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1370,Бездокументарная,С централизованным учетом,6-1370-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
478,RU000A10A2N2,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1369,Бездокументарная,С централизованным учетом,6-1369-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
479,RU000A10A2M4,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1368,Бездокументарная,С централизованным учетом,6-1368-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
480,RU000A10A2L6,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1367,Бездокументарная,С централизованным учетом,6-1367-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
481,RU000A10A2K8,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1366,Бездокументарная,С централизованным учетом,6-1366-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
482,RU000A10A2J0,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1365,Бездокументарная,С централизованным учетом,6-1365-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
483,RU000A10A2H4,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1364,Бездокументарная,С централизованным учетом,6-1364-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
484,RU000A10A2G6,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1363,Бездокументарная,С централизованным учетом,6-1363-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
485,RU000A10A2F8,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1362,Бездокументарная,С централизованным учетом,6-1362-01000-B-001P,7 ноября 2024 г.,1 000.00,Юань,,,,,,,,,
486,RU000A10A2E1,12 ноября 2024 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии C-1-1361,Бездокументарная,С централизованным учетом,6-1361-01000-В-001P,7 ноября 2024 г.,,Юань,,,,,,,,,
562,RU000A109ZH7,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-736 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-736-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
563,RU000A109ZG9,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-735 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-735-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
564,RU000A109ZF1,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-734 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-734-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
565,RU000A109ZE4,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-733 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-733-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
566,RU000A109ZD6,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-732 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-732-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
567,RU000A109ZC8,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-731 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-731-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
568,RU000A109ZB0,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-730 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-730-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
569,RU000A109ZA2,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-729 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-729-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
570,RU000A109Z92,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-728 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-728-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
571,RU000A109Z84,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-727 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-727-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
572,RU000A109Z76,30 октября 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-726 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-726-01793-A,19 февраля 2024 г.,1 000.00,Юань,,,,,,,,,
