,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
0,RU000A10AME5,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-124,Бездокументарная,С централизованным учетом,6-124-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
1,RU000A10AMD7,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-123,Бездокументарная,С централизованным учетом,6-123-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
2,RU000A10AMC9,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-122,Бездокументарная,С централизованным учетом,6-122-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
3,RU000A10AMB1,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-121,Бездокументарная,С централизованным учетом,6-121-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
4,RU000A10AMA3,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-120,Бездокументарная,С централизованным учетом,6-120-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
5,RU000A10AM99,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-119,Бездокументарная,С централизованным учетом,6-119-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
6,RU000A10AM81,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-118,Бездокументарная,С централизованным учетом,6-118-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
7,RU000A10AM73,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-117,Бездокументарная,С централизованным учетом,6-117-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
8,RU000A10AM65,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-116,Бездокументарная,С централизованным учетом,6-116-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
9,RU000A10AM57,28 декабря 2024 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные процентные дисконтные бездокументарные неконвертируемые с залоговым обеспечением серии CIB-CO-IND-001S-115,Бездокументарная,С централизованным учетом,6-115-01793-A-001P,27 декабря 2024 г.,1 000.00,Рубли,,,,,,,,,
