,date,web-link,text,Year,Month
0,2024-12-28,?id22=667879,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-124-01793-A-001P",2024,12
1,2024-12-28,?id22=667877,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-123-01793-A-001P",2024,12
2,2024-12-28,?id22=667875,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-122-01793-A-001P",2024,12
3,2024-12-28,?id22=667873,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-121-01793-A-001P",2024,12
4,2024-12-28,?id22=667871,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-120-01793-A-001P",2024,12
5,2024-12-28,?id22=667869,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-119-01793-A-001P",2024,12
6,2024-12-28,?id22=667867,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-118-01793-A-001P",2024,12
7,2024-12-28,?id22=667865,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-117-01793-A-001P",2024,12
8,2024-12-28,?id22=667863,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-116-01793-A-001P",2024,12
9,2024-12-28,?id22=667861,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-115-01793-A-001P",2024,12
10,2024-12-28,?id22=667859,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-114-01793-A-001P",2024,12
11,2024-12-28,?id22=667857,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-113-01793-A-001P",2024,12
12,2024-12-28,?id22=667855,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-112-01793-A-001P",2024,12
13,2024-12-28,?id22=667853,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-111-01793-A-001P",2024,12
14,2024-12-28,?id22=667851,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-110-01793-A-001P",2024,12
15,2024-12-28,?id22=667849,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-109-01793-A-001P",2024,12
16,2024-12-28,?id22=667847,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-108-01793-A-001P",2024,12
17,2024-12-28,?id22=667845,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-107-01793-A-001P",2024,12
18,2024-12-28,?id22=667843,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-106-01793-A-001P",2024,12
19,2024-12-28,?id22=667841,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-105-01793-A-001P",2024,12
20,2024-12-28,?id22=667839,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-104-01793-A-001P",2024,12
21,2024-12-28,?id22=667837,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-103-01793-A-001P",2024,12
22,2024-12-28,?id22=667835,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-102-01793-A-001P",2024,12
23,2024-12-28,?id22=667833,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-101-01793-A-001P",2024,12
24,2024-12-28,?id22=667831,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-100-01793-A-001P",2024,12
25,2024-12-28,?id22=667829,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-99-01793-A-001P",2024,12
26,2024-12-28,?id22=667827,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-98-01793-A-001P",2024,12
27,2024-12-28,?id22=667825,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-97-01793-A-001P",2024,12
28,2024-12-28,?id22=667823,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-96-01793-A-001P",2024,12
29,2024-12-28,?id22=667821,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-95-01793-A-001P",2024,12
30,2024-12-28,?id22=667817,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-94-01793-A-001P",2024,12
31,2024-12-28,?id22=667815,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-93-01793-A-001P",2024,12
32,2024-12-28,?id22=667813,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-92-01793-A-001P",2024,12
33,2024-12-28,?id22=667811,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-91-01793-A-001P",2024,12
34,2024-12-28,?id22=667809,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-90-01793-A-001P",2024,12
35,2024-12-28,?id22=667807,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-89-01793-A-001P",2024,12
36,2024-12-28,?id22=667805,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-88-01793-A-001P",2024,12
37,2024-12-28,?id22=667803,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-87-01793-A-001P",2024,12
38,2024-12-28,?id22=667801,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-86-01793-A-001P",2024,12
39,2024-12-28,?id22=667799,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-85-01793-A-001P",2024,12
40,2024-12-28,?id22=667797,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-84-01793-A-001P",2024,12
41,2024-12-28,?id22=667795,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-83-01793-A-001P",2024,12
