,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
0,RU000A107J52,29 декабря 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-622,Бездокументарная,С централизованным учетом,4B02-622-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,10 января 2024 г.,,,,,,,,
1,RU000A107J45,29 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_PRTACm_MOEXMM-5Y-001Р-601R,Бездокументарная,С централизованным учетом,4B02-630-01481-B-001P,27 декабря 2023 г.,,Рубли,,,,,,,,,
2,RU000A107J03,28 декабря 2023 г.,,,,,,,,21 декабря 2023 г.,,,,Параметры ценной бумаги (пая),"Закрытый паевой инвестиционный фонд рыночных финансовых инструментов ""Глобальный рынок облигаций (заблокированные активы)""",закрытый,Инвестиционные паи,5935,"АО УК ""БКС""","АО ""Специализированный депозитарий ""ИНФИНИТУМ""","АО ""Специализированный депозитарий ""ИНФИНИТУМ"""
3,RU000A107HY4,28 декабря 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-621,Бездокументарная,С централизованным учетом,4B02-621-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,30 декабря 2023 г.,,,,,,,,
4,RU000A107HU2,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Цефей-1""",7730281357,Облигации структурные процентные бездокументарные неконвертируемые серии А-1 с залоговым обеспечением денежными требованиями с централизованным учетом прав,Бездокументарная,С централизованным учетом,6-01-00775-R,25 декабря 2023 г.,1 000.00,Рубли,28 декабря 2028 г.,,,,,,,,
5,RU000A107HF3,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"акционерное общество ""Государственная транспортная лизинговая компания""",7720261827,Облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 005Р-14,Бездокументарная,С централизованным учетом,4-14-32432-H-003P,16 ноября 2023 г.,1 000.00,Рубли,27 декабря 2048 г.,,,,,,,,
6,RU000A107HP2,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Государственная корпорация по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции ""Ростех""",7704274402,Облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 02,Бездокументарная,С централизованным учетом,4-02-00016-T-001P,26 декабря 2023 г.,1 000.00,Рубли,9 декабря 2038 г.,,,,,,,,
7,RU000A107HL1,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Государственная корпорация по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции ""Ростех""",7704274402,Облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 01,Бездокументарная,С централизованным учетом,4-01-00016-T-001P,26 декабря 2023 г.,1 000.00,Рубли,9 декабря 2038 г.,,,,,,,,
8,RU000A107HH9,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Газпром нефть""",5504036333,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 003Р-09R,Бездокументарная,С централизованным учетом,4B02-09-00146-A-003P,25 декабря 2023 г.,1 000.00,Рубли,23 декабря 2027 г.,,,,,,,,
9,RU000A107HG1,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Газпром нефть""",5504036333,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 003Р-08R,Бездокументарная,С централизованным учетом,4B02-08-00146-A-003P,25 декабря 2023 г.,1 000.00,Рубли,12 декабря 2026 г.,,,,,,,,
10,RU000A107HQ0,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Газпром капитал""",7726588547,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии 003Б-02 без срока погашения,Бездокументарная,С централизованным учетом,4-02-36400-R-004P,16 ноября 2023 г.,5 000 000.00,Рубли,Без срока погашения,,,,,,,,
11,RU000A107HR8,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Авто Финанс Банк""",5503067018,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии БО-001Р-11,Бездокументарная,С централизованным учетом,4B02-11-00170-B-001P,26 декабря 2023 г.,1 000.00,Рубли,24 декабря 2026 г.,,,,,,,,
12,RU000A107HD8,27 декабря 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-620,Бездокументарная,С централизованным учетом,4B02-620-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,29 декабря 2023 г.,,,,,,,,
13,RU000A107HC0,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество развития базовых отраслей промышленности""",9702043604,Структурные облигации бездокументарные процентные неконвертируемые с залоговым обеспечением денежными требованиями с централизованным учетом прав серии 01,Бездокументарная,С централизованным учетом,6-01-00718-R,8 июня 2023 г.,1 000.00,Рубли,22 декабря 2028 г.,,,,,,,,
14,RU000A107H62,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью Специализированное финансовое общество ""Меркурий""",9703149709,"Облигации неконвертируемые бездокументарные процентные облигации с централизованным учетом прав с залоговым обеспечением денежными требованиями класса ""Б""",Бездокументарная,С централизованным учетом,4-02-00759-R,4 декабря 2023 г.,1 000.00,Рубли,20 июля 2029 г.,,,,,,,,
15,RU000A107H13,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью Специализированное финансовое общество ""Меркурий""",9703149709,"Неконвертируемые бездокументарные процентные облигации с централизованным учетом прав с залоговым обеспечением денежными требованиями класса ""А""",Бездокументарная,С централизованным учетом,4-01-00759-R,4 декабря 2023 г.,1 000.00,Рубли,20 июля 2029 г.,,,,,,,,
16,RU000A107H47,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью Специализированное финансовое общество ""Меркурий""",9703149709,"Неконвертируемые бездокументарные процентные облигации с централизованным учетом прав с залоговым обеспечением денежными требованиями класса ""В""",Бездокументарная,С централизованным учетом,4-03-00759-R,4 декабря 2023 г.,1 000.00,Рубли,20 июля 2029 г.,,,,,,,,
17,RU000A107HB2,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Директива""",9702057050,Структурные облигации бездокументарные процентные неконвертируемые с залоговым обеспечением денежными требованиями с централизованным учетом прав серии 01,Бездокументарная,С централизованным учетом,6-01-00773-R,25 декабря 2023 г.,1 000.00,Рубли,24 декабря 2028 г.,,,,,,,,
18,RU000A107H88,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""БРАВО""",6658234087,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии КО-01,Бездокументарная,С централизованным учетом,4CDE-01-00132-L,25 декабря 2023 г.,100 000.00,Рубли,5 января 2028 г.,,,,,,,,
19,RU000A107H21,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью Банк ""Аверс""",1653003601,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии 002РС-01,Бездокументарная,С централизованным учетом,4CDE-01-00415-B-002P,13 декабря 2023 г.,1 000.00,Рубли,20 декабря 2028 г.,,,,,,,,
20,RU000A107H05,26 декабря 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-619,Бездокументарная,С централизованным учетом,4B02-619-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,28 декабря 2023 г.,,,,,,,,
21,RU000A107GV2,25 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Лизинговая компания ""Эволюция""",9724016636,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001Р-01,Бездокументарная,С централизованным учетом,4B02-01-00750-R-001P,21 декабря 2023 г.,1 000.00,Рубли,22 декабря 2026 г.,,,,,,,,
22,RU000A107GX8,25 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""",7703104630,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-27,Бездокументарная,С централизованным учетом,4B02-27-01669-A-001P,21 декабря 2023 г.,1 000.00,Рубли,21 декабря 2027 г.,,,,,,,,
23,RU000A107GW0,25 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Концерн ""РОССИУМ""",5032152372,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 003Р-02,Бездокументарная,С централизованным учетом,4B02-02-36479-R-003P,18 декабря 2023 г.,1 000.00,Рубли,13 декабря 2033 г.,,,,,,,,
24,RU000A107GU4,25 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Микрофинансовая компания ""Быстроденьги"" (Общество с ограниченной ответственностью)",7325081622,Биржевые облигации бездокументарные процентные неконвертируемые с обеспечением в форме поручительства с централизованным учетом прав серии 002P-04,Бездокументарная,С централизованным учетом,4B02-04-00487-R-002P,15 декабря 2023 г.,1 000.00,Рубли,8 июня 2027 г.,,,,,,,,
25,RU000A107GT6,25 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""СЕЛЛ-Сервис""",5406780551,Биржевые облигации процентные неконвертируемые бездокументарные централизованным учетом прав серии БО-01,Бездокументарная,С централизованным учетом,4B02-01-00645-R,19 декабря 2023 г.,1 000.00,Рубли,5 декабря 2027 г.,,,,,,,,
26,RU000A107GR0,25 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Ванадиум""",9729351892,Структурные процентные бездокументарные неконвертируемые облигации серии BUF-1 с залоговым обеспечением,Бездокументарная,С централизованным учетом,6-01-00763-R,11 декабря 2023 г.,1 000.00,Рубли,25 декабря 2026 г.,,,,,,,,
27,RU000A107GS8,25 декабря 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-618,Бездокументарная,С централизованным учетом,4B02-618-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,27 декабря 2023 г.,,,,,,,,
28,RU000A107GQ2,22 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Орион-7""",7730301148,Облигации структурные процентные неконвертируемые бездокументарные с централизованным учетом прав серии А-1 с залоговым обеспечением,Бездокументарная,С централизованным учетом,6-01-00772-R,22 декабря 2023 г.,1 000.00,Рубли,31 декабря 2036 г.,,,,,,,,
29,RU000A107GN9,22 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""НЛК-Финанс""",7743402256,Процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии 001Р-12,Бездокументарная,С централизованным учетом,4-12-00694-R-001P,21 декабря 2023 г.,1 000.00,Рубли,6 декабря 2038 г.,,,,,,,,
30,RU000A107GM1,22 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ДОМ.РФ Ипотечный агент""",7727290538,Биржевые жилищные неконвертируемые процентные бездокументарные облигации с ипотечным покрытием и с обеспечением в форме поручительства с централизованным учетом прав серии БО-001P-41,Бездокументарная,С централизованным учетом,4B02-41-00307-R-001P,20 декабря 2023 г.,1 000.00,Рубли,28 сентября 2033 г.,,,,,,,,
31,RU000A107GL3,22 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ДОМ.РФ Ипотечный агент""",7727290538,Биржевые жилищные неконвертируемые процентные бездокументарные облигации с ипотечным покрытием и с обеспечением в форме поручительства серии БО-001P-40,Бездокументарная,С централизованным учетом,4B02-39-00307-R-001P,11 декабря 2023 г.,1 000.00,Рубли,28 ноября 2033 г.,,,,,,,,
32,RU000A107GJ7,22 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ВсеИнструменты.ру""",7722753969,Биржевые облигации процентные неконвертируемые бездокументарные централизованным учетом прав серии 001Р-01,Бездокументарная,С централизованным учетом,4B02-01-00410-R-001P,18 декабря 2023 г.,1 000.00,Рубли,9 декабря 2026 г.,,,,,,,,
33,RU000A107GH1,22 декабря 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-617,Бездокументарная,С централизованным учетом,4B02-617-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,26 декабря 2023 г.,,,,,,,,
34,RU000A107GF5,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Канопус""",9714013107,Облигации структурные неконвертируемые процентные бездокументарные с залоговым обеспечением с централизованным учетом прав серии 13,Бездокументарная,С централизованным учетом,6-13-00740-R,11 декабря 2023 г.,,Юань,,,,,,,,,
35,RU000A107GE8,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Канопус""",9714013107,Облигации структурные неконвертируемые процентные бездокументарные с залоговым обеспечением с централизованным учетом прав серии 12,Бездокументарная,С централизованным учетом,6-12-00740-R,11 декабря 2023 г.,,Юань,,,,,,,,,
36,RU000A107GD0,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Канопус""",9714013107,Облигации структурные неконвертируемые процентные бездокументарные с залоговым обеспечением с централизованным учетом прав серии 11,Бездокументарная,С централизованным учетом,6-11-00740-R,11 декабря 2023 г.,,Юань,,,,,,,,,
37,RU000A107G22,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД АЛЮМИНИЕВЫХ СИСТЕМ КОРПСАН""",5032292806,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии БО-П01,Бездокументарная,С централизованным учетом,4B02-01-00583-R-001P,19 декабря 2023 г.,1 000.00,Рубли,18 декабря 2026 г.,,,,,,,,
38,RU000A107G55,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ДОМ.РФ Ипотечный агент""",7727290538,Биржевые жилищные неконвертируемые процентные бездокументарные облигации с ипотечным покрытием и с обеспечением в форме поручительства серии БО-001P-39,Бездокументарная,С централизованным учетом,4B02-38-00307-R-001P,7 декабря 2023 г.,1 000.00,Рубли,28 ноября 2033 г.,,,,,,,,
39,RU000A107GC2,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""ДОМ.РФ""",7729355614,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 002P-03,Бездокументарная,С централизованным учетом,4B02-03-00739-A-002P,20 декабря 2023 г.,1 000.00,Рубли,17 декабря 2027 г.,,,,,,,,
40,RU000A107GB4,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""ДОМ.РФ""",7729355614,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 002P-02,Бездокументарная,С централизованным учетом,4B02-02-00739-A-002P,20 декабря 2023 г.,1 000.00,Рубли,19 декабря 2025 г.,,,,,,,,
41,RU000A107G63,21 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ДжетЛенд""",7724451748,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии БО-01,Бездокументарная,С централизованным учетом,4B02-01-00129-L,20 декабря 2023 г.,1 000.00,Рубли,6 декабря 2026 г.,,,,,,,,
