,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
0,RU000A107D17,11 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Федеральная сетевая компания - Россети""",4716016979,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-12R,Бездокументарная,С централизованным учетом,4B02-12-65018-D-001P,4 декабря 2023 г.,1 000.00,Рубли,25 мая 2027 г.,,,,,,,,
1,RU000A107D09,11 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Российский Сельскохозяйственный банк""",7725114488,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав ceрии БО-10K-002Р,Бездокументарная,С централизованным учетом,4B02-31-03349-B-002P,11 февраля 2021 г.,1 000.00,Рубли,9 июня 2024 г.,,,,,,,,
2,RU000A107D25,11 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Оптимум Финанс""",9704219846,"Облигации с залоговым обеспечением бездокументарные с централизованным учетом прав, неконвертируемые с залоговым обеспечением денежными требованиями процентные",Бездокументарная,,4-01-00760-R,7 декабря 2023 г.,,Рубли,,,,,,,,,
3,RU000A107CX7,11 декабря 2023 г.,Параметры ценной бумаги (выпуска),"акционерное общество ""Государственная транспортная лизинговая компания""",7720261827,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии ЗО28-Д,Бездокументарная,С централизованным учетом,4-07-32432-H,16 ноября 2023 г.,1 000.00,Доллар США,26 февраля 2028 г.,,,,,,,,
4,RU000A107D33,11 декабря 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ВИС ФИНАНС""",4705081944,Биржевые облигации с обеспечением бездокументарные процентные неконвертируемые с централизованным учетом прав серии БО-П05,Бездокументарная,С централизованным учетом,4B02-05-00554-R-001P,8 декабря 2023 г.,,Рубли,,,,,,,,,
5,RU000A107CW9,11 декабря 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-608,Бездокументарная,С централизованным учетом,4B02-608-01000-B-005P,24 ноября 2023 г.,1 000.00,Рубли,13 декабря 2023 г.,,,,,,,,
6,RU000A107AX1,30 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Росгеология""",7724294887,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом серии 001Р-02,Бездокументарная,С централизованным учетом,4B02-02-09835-A-001P,24 ноября 2023 г.,1 000.00,Рубли,15 ноября 2026 г.,,,,,,,,
7,RU000A107B19,30 ноября 2023 г.,Параметры ценной бумаги (выпуска),Министерство финансов и налоговой политики Новосибирской области,5406634649,Государственные облигации Новосибирской области 2023 года в форме именных документарных ценных бумаг с фиксированным купонным доходом и амортизацией долга,Документарная именная,Обязательное централизованное хранение,RU35023ANO0,20 ноября 2023 г.,1 000.00,Рубли,22 ноября 2030 г.,,,,,,,,
8,RU000A107AZ6,30 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью микрофинансовая компания ""Саммит""",7728771940,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-02,Бездокументарная,С централизованным учетом,4B02-02-00098-L-001P,14 сентября 2023 г.,1 000.00,Рубли,15 ноября 2026 г.,,,,,,,,
9,RU000A107B43,30 ноября 2023 г.,Параметры ценной бумаги (выпуска),"акционерное общество ""Государственная транспортная лизинговая компания""",7720261827,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии ЗО27-Д,Бездокументарная,С централизованным учетом,4-06-32432-H,16 ноября 2023 г.,1 000.00,Доллар США,10 марта 2027 г.,,,,,,,,
