,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
0,RU000A107746,10 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Тинькофф Банк""",7710140679,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии TCS-perp2,Бездокументарная,С централизованным учетом,4-04-02673-B,9 октября 2023 г.,1 000.00,Доллар США,Без срока погашения,,,,,,,,
1,RU000A107738,10 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Тинькофф Банк""",7710140679,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии TCS-perp1,Бездокументарная,С централизованным учетом,4-03-02673-B,9 октября 2023 г.,1 000.00,Доллар США,Без срока погашения,,,,,,,,
2,RU000A107720,10 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Мани Капитал Лизинг""",7705303688,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии БO-01,Бездокументарная,С централизованным учетом,4B02-01-00421-R,23 октября 2023 г.,1 000.00,Рубли,10 ноября 2026 г.,,,,,,,,
3,RU000A107704,10 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_MOEXFN-PRT-1Y-001Р-593R,Бездокументарная,С централизованным учетом,4B02-623-01481-B-001P,9 ноября 2023 г.,,Рубли,,,,,,,,,
4,RU000A1075J3,31 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""РЕСО-Лизинг""",7709431786,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии БО-02П-05,Бездокументарная,С централизованным учетом,4B02-05-36419-R-002P,23 октября 2023 г.,1 000.00,Рубли,19 октября 2033 г.,,,,,,,,
5,RU000A1075Q8,31 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-811,Бездокументарная,С централизованным учетом,6-811-01000-B-001P,30 октября 2023 г.,,Рубли,,,,,,,,,
6,RU000A1075N5,31 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-801,Бездокументарная,С централизованным учетом,6-801-01000-B-001P,30 октября 2023 г.,,Рубли,,,,,,,,,
7,RU000A1075E4,30 октября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Мобильные ТелеСистемы""",7740000076,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 002P-01,Бездокументарная,С централизованным учетом,4B02-01-04715-A-002P,27 октября 2023 г.,1 000.00,Рубли,26 октября 2027 г.,,,,,,,,
8,RU000A1075D6,30 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ГазТрансСнаб""",6658460424,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-01,Бездокументарная,С централизованным учетом,4B02-01-00702-R-001P,23 октября 2023 г.,1 000.00,Рубли,24 октября 2028 г.,,,,,,,,
9,RU000A107597,27 октября 2023 г.,,,,,,,,19 октября 2023 г.,,,,Параметры ценной бумаги (пая),"Биржевой паевой инвестиционный фонд рыночных финансовых инструментов ""Тинькофф Локальные валютные облигации""",биржевой,Инвестиционные паи,5728,"ООО ""Тинькофф Капитал""","АО ""Специализированный депозитарий ""ИНФИНИТУМ""","АО ""Специализированный депозитарий ""ИНФИНИТУМ"""
10,RU000A107589,27 октября 2023 г.,Параметры ценной бумаги (выпуска),"публично-правовая компания ""Фонд развития территорий""",7704446429,Процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии 001P-28,Бездокументарная,С централизованным учетом,4-28-00014-T-001P,4 сентября 2023 г.,1 000.00,Рубли,30 октября 2048 г.,,,,,,,,
11,RU000A107571,27 октября 2023 г.,Параметры ценной бумаги (выпуска),"публично-правовая компания ""Фонд развития территорий""",7704446429,Процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии 001P-27,Бездокументарная,С централизованным учетом,4-27-00014-T-001P,4 сентября 2023 г.,1 000.00,Рубли,30 октября 2048 г.,,,,,,,,
12,RU000A1075B0,27 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Кабельный завод Кабэкс""",5940200262,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии КО-01,Бездокументарная,С централизованным учетом,4CDE-01-00121-L,25 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
13,RU000A0P1LY6,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-260,Бездокументарная,С централизованным учетом,6-260-01326-B-001P,23 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
14,RU000A0P1LX8,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-259,Бездокументарная,С централизованным учетом,6-259-01326-B-001P,23 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
15,RU000A0P1LW0,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-258,Бездокументарная,С централизованным учетом,6-258-01326-B-001P,23 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
16,RU000A0P1LV2,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-257,Бездокументарная,С централизованным учетом,6-257-01326-B-001P,23 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
17,RU000A0P1LU4,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-256,Бездокументарная,С централизованным учетом,6-256-01326-B-001P,23 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
18,RU000A0P1LT6,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-255,Бездокументарная,С централизованным учетом,6-255-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
19,RU000A0P1LS8,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-254,Бездокументарная,С централизованным учетом,6-254-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
20,RU000A0P1LR0,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-253,Бездокументарная,С централизованным учетом,6-253-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
21,RU000A0P1LQ2,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-252,Бездокументарная,С централизованным учетом,6-252-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
22,RU000A0P1LP4,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-251,Бездокументарная,С централизованным учетом,6-251-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
23,RU000A0P1LN9,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-250,Бездокументарная,С централизованным учетом,6-250-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
24,RU000A0P1LM1,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-249,Бездокументарная,С централизованным учетом,6-249-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
25,RU000A0P1LL3,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-248,Бездокументарная,С централизованным учетом,6-248-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
