,Date,amount_blnUSD,amount_blnRUB,"Date(m,Y)"
0,2024-05-01,138.93,12750.84,"May, 2024"
1,2024-04-01,135.7,12534.41,"April, 2024"
2,2024-03-01,133.44,12258.66,"March, 2024"
3,2024-02-01,133.53,11922.37,"February, 2024"
4,2024-01-01,133.41,11965.07,"January, 2024"
5,2023-12-01,151.13,13432.97,"December, 2023"
6,2023-11-01,145.22,13541.23,"November, 2023"
7,2023-10-01,140.11,13648.34,"October, 2023"
8,2023-09-01,142.85,13703.6,"September, 2023"
9,2023-08-01,146.34,13313.45,"August, 2023"
10,2023-07-01,145.58,12670.27,"July, 2023"
11,2023-06-01,153.1,12353.15,"June, 2023"
12,2023-05-01,154.96,12475.59,"May, 2023"
13,2023-04-01,154.45,11906.06,"April, 2023"
14,2023-03-01,147.24,11106.4,"March, 2023"
15,2023-02-01,155.3,10807.6,"February, 2023"
16,2023-01-01,148.35,10434.58,"January, 2023"
17,2022-12-01,186.49,11389.51,"December, 2022"
18,2022-11-01,184.84,11374.08,"November, 2022"
19,2022-10-01,187.97,10792.19,"October, 2022"
20,2022-09-01,196.63,11869.9,"September, 2022"
21,2022-08-01,198.27,12155.89,"August, 2022"
22,2022-07-01,210.62,10774.98,"July, 2022"
23,2022-06-01,197.72,12475.93,"June, 2022"
24,2022-05-01,154.95,11005.37,"May, 2022"
25,2022-04-01,155.23,13052.3,"April, 2022"
26,2022-03-01,154.82,12935.11,"March, 2022"
27,2022-02-01,174.9,13610.27,"February, 2022"
28,2022-01-01,182.59,13565.35,"January, 2022"
29,2021-12-01,185.2,13886.33,"December, 2021"
30,2021-11-01,197.75,13945.07,"November, 2021"
31,2021-10-01,191.02,13898.52,"October, 2021"
32,2021-09-01,190.51,14016.99,"September, 2021"
33,2021-08-01,188.1,13757.05,"August, 2021"
34,2021-07-01,187.57,13574.58,"July, 2021"
35,2021-06-01,189.41,13938.08,"June, 2021"
36,2021-05-01,185.87,13825.43,"May, 2021"
37,2021-04-01,182.32,13802.12,"April, 2021"
38,2021-03-01,182.06,13552.05,"March, 2021"
39,2021-02-01,179.0,13649.3,"February, 2021"
40,2021-01-01,183.36,13545.66,"January, 2021"
41,2020-12-01,177.39,13457.02,"December, 2020"
42,2020-11-01,167.63,13298.63,"November, 2020"
43,2020-10-01,172.34,13733.05,"October, 2020"
44,2020-09-01,177.61,13256.66,"September, 2020"
45,2020-08-01,176.64,12958.68,"August, 2020"
46,2020-07-01,173.54,12139.6,"July, 2020"
47,2020-06-01,171.89,12161.48,"June, 2020"
48,2020-05-01,168.35,12405.77,"May, 2020"
49,2020-04-01,165.38,12855.75,"April, 2020"
50,2020-03-01,123.14,8249.59,"March, 2020"
51,2020-02-01,124.38,7840.55,"February, 2020"
52,2020-01-01,125.56,7773.06,"January, 2020"
53,2019-12-01,124.0,7946.22,"December, 2019"
54,2019-11-01,124.46,7949.61,"November, 2019"
55,2019-10-01,123.07,7927.69,"October, 2019"
56,2019-09-01,122.88,8170.49,"September, 2019"
57,2019-08-01,124.14,7867.7,"August, 2019"
