Data;01.10.2022;01.11.2022;01.12.2022;01.01.2023;01.02.2023;01.03.2023;01.04.2023;01.05.2023;01.06.2023;01.07.2023;01.08.2023;01.09.2023;01.10.2023;01.11.2023;01.12.2023;01.01.2024
Volume of the National Wealth Fund, RUB mln;10792186;11374082;11389508;10434581;10807595;11106404;11906061;12475588;12353146;12670270;13313451;13703598;13648338;13541232;13432972;11965075
Volume of the National Wealth Fund, USD mln;187975;184841;186486;148350;155298;147237;154451;154958;153099;145578;146337;142853;140106;145224;151129;133407
Balance on Federal Treasury accounts with the Bank of the Russia, EUR mln;49189;45734;41892;10465;10465;10465;10399;9234;9055;7279;7279;5225;4071;3667;3269;0
Balance on Federal Treasury accounts with the Bank of the Russia, CNY mln;309720;309720;309720;309720;307446;300068;292589;288330;285736;282284;280159;279774;279774;279774;279774;227331
Balance on Federal Treasury accounts with the Bank of the Russia, GOLD kg;554911;554911;554911;554911;551278;539245;527382;520974;517114;511987;508835;508265;508265;508265;508265;358961
Balance on Federal Treasury accounts with the Bank of the Russia, RUB mln;264;527;243;275;530;6124;141;233;228;400;5491;6776;396;262;1188;1514
Deposits and subordinated debt with VEB_RF, RUB mln;528449;528186;650116;649841;649586;649346;648927;648694;648466;653020;655171;656580;657029;657765;658365;658828
Debt obligations of foreign countries, USD mln;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000
Securities of Russian issuers related to the implementation of self-sustaining infrastructure projects, RUB mln;314357;319389;385146;583710;583710;583710;595596;603639;619314;697876;703010;862315;918404;940395;973117;1157407
Securities of Russian issuers related to the implementation of self-sustaining infrastructure projects, USD mln;2221;2221;2221;2153;2153;2082;2082;2082;2082;2014;2014;1944;1944;1944;1944;1876
Preferred shares of credit organizations, RUB mln;328992;328992;328992;328992;328992;328992;328992;328992;328992;328992;328992;328992;328992;328992;328992;328992
Subordinated debt with GAZPROMBANK, RUB mln;0;0;0;0;0;0;38434;38434;38434;38434;38434;38434;38434;38434;38434;38434
Common stocks, RUB mln;1393665;1601087;1702023;1757320;1932492;2095160;2709112;3041875;3088748;3128294;3384521;3465106;3389191;3463670;3530974;3479596
Preferred shares, RUB mln;250000;250000;250000;467000;467000;467000;467000;467000;467000;467000;467000;467000;467000;467000;467000;467000
Bonds, RUB mln;14151;14151;14151;14151;14151;14151;14151;109099;109099;109099;96723;159313;227544;245720;250195;385771
Volume of liquid assets of the Fund, RUB mln;7524361;7872548;7601763;6132655;6334591;6446231;6712063;6828671;6643004;6811125;7183392;7251635;7140176;6938309;6746505;5011778
Volume of liquid assets of the Fund, USD mln;131057;127938;124468;87189;91024;85457;87072;84818;82330;78258;78957;75594;73297;74411;75905;55880
Share of liquid assets in the total Fund in USD equivalent;69,7%;69,2%;66,7%;58,8%;58,6%;58,0%;56,4%;54,7%;53,8%;53,8%;54,0%;52,9%;52,3%;51,2%;50,2%;41,9%
