Data;01.10.2022;01.11.2022;01.12.2022;01.01.2023;01.02.2023;01.03.2023;01.04.2023;01.05.2023;01.06.2023;01.07.2023;01.08.2023;01.09.2023;01.10.2023;01.11.2023;01.12.2023;01.01.2024;01.02.2024;01.03.2024;01.04.2024;01.05.2024;01.06.2024;01.07.2024;01.08.2024;01.09.2024;01.10.2024;01.11.2024;01.12.2024;01.01.2025;01.02.2025;01.03.2025;01.04.2025;01.05.2025
CBR exchange rate for USD;57.0;61.0;61.0;70.0;69.0;75.0;77.0;80.0;81.0;87.0;91.0;96.0;97.0;93.0;89.0;90.0;89.0;92.0;92.0;92.0;90.0;86.0;86.0;91.0;93.0;97.0;108.0;102.0;98.0;88.0;84.0;82.0
CBR exchange rate for CNY;8.0;8.0;9.0;10.0;10.0;11.0;11.0;12.0;11.0;12.0;13.0;13.0;13.0;13.0;12.0;13.0;12.0;13.0;13.0;12.0;12.0;12.0;12.0;12.0;13.0;13.0;15.0;13.0;13.0;12.0;11.0;11.0
Volume of the National Wealth Fund, RUB mln;10792185.6;11374082.0;11389507.9;10434580.8;10807595.0;11106403.6;11906061.4;12475588.3;12353145.8;12670270.1;13313450.5;13703597.7;13648337.7;13541231.5;13432971.8;11965074.7;11922371.2;12258661.2;12534406.3;12750839.4;12703814.5;12601672.4;12277510.9;12165767.0;12787132.6;12726198.8;13096719.1;11879972.7;11965801.9;11880606.5;11750725.5;11791774.4
Deposits and subordinated debt with VEB_RF;528449.0;528186.0;650116.0;649841.0;649586.0;649346.0;648927.0;648694.0;648466.0;653020.0;655170.8;656580.0;657029.3;657764.8;658364.9;658828.3;658595.7;658293.5;657832.8999999999;659635.9;660216.1;660688.7;689427.9;690022.5;690508.4;752240.9;751917.8;891319.7;968847.4;1005833.7000000001;1054339.1;1055987.9
Debt obligations of foreign countries;171000.0;183000.0;183000.0;210000.0;207000.0;225000.0;231000.0;240000.0;243000.0;261000.0;273000.0;288000.0;291000.0;279000.0;267000.0;270000.0;267000.0;276000.0;276000.0;276000.0;270000.0;258000.0;258000.0;273000.0;279000.0;291000.0;324000.0;306000.0;294000.0;264000.0;252000.0;246000.0
Securities related to the implementation of infrastructure projects;440977.2;454894.1;520651.6;734448.0;732294.6;739890.0;755940.8;770231.1;787988.8;873128.3;886320.8;1048891.2;1106923.7;1121140.9;1146088.2;1326202.0;1324326.5;1335919.0;1351848.0;1355436.0;1382748.3;1392652.0;1397859.0;1433637.4;1444806.4;1465838.2;1499442.6;1530618.0;1522862.2999999998;1503523.5;1498449.6;1494608.4000000001
Preferred shares and subordinated debt of credit organizations;328991.9;328991.9;328991.9;328991.9;328991.9;328991.9;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;367425.80000000005;442425.80000000005;442425.80000000005;442425.80000000005;442425.80000000005;442425.80000000005;442425.80000000005;442425.80000000005;442425.9;442425.9;442425.9;442425.9
Common stocks;1393665.3;1601086.9;1702023.3;1757319.5;1932491.9;2095160.2;2709111.9;3041875.2;3088748.3;3128294.4;3384520.6999999997;3465106.2;3389191.3;3463670.0000000005;3530974.0;3479595.8999999994;3544601.3999999994;3726117.6;3807455.2;3937682.4;3995946.6;4167665.7;3710250.0999999996;3313410.9;3488466.3;3120030.0000000005;3035844.9;3551920.4;3638440.0;3939607.3000000003;3910964.5;3936226.2
Preferred shares;250000.0;250000.0;250000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0;467000.0
Bonds;14150.8;14150.8;14150.8;14150.8;14150.8;14150.8;14150.8;109098.9;109098.9;109098.9;96722.8;159313.4;227543.5;245719.7;250195.1;385771.2;384966.4;383946.4;517310.5;516505.8;515485.7;611147.5;646342.8;690822.7;719486.5;734931.8;788111.7;876538.5;875733.8;864713.7;852047.0;851242.3
Liquid assets of the Fund;7524361.3;7872548.3;7601763.0;6132655.2;6334590.6;6446231.0;6712063.4;6828671.4;6643004.4;6811125.0;7183391.5;7251634.9;7140176.1;6938308.8;6746505.1;5011778.0;4907126.4;5044614.2;5087766.7;5172247.3;5046039.0;4603329.1;4665093.0;4854458.2;5255172.1;5447193.4;5792014.8;3809866.8;3751160.1;3393844.7;3268903.8;3296830.6
