,Date,amount_blnUSD,amount_blnRUB,"Date(m,Y)"
0,2023-10-01,140.11,13648.34,"October, 2023"
1,2023-09-01,142.85,137.36,"September, 2023"
2,2023-08-01,146.34,1331.34,"August, 2023"
3,2023-07-01,145.58,1267.27,"July, 2023"
4,2023-06-01,153.1,123.31,"June, 2023"
5,2023-05-01,154.96,124.79,"May, 2023"
6,2023-04-01,154.45,119.66,"April, 2023"
7,2023-03-01,147.24,111.64,"March, 2023"
8,2023-02-01,155.3,18.76,"February, 2023"
9,2023-01-01,148.35,143.48,"January, 2023"
10,2022-12-01,186.49,1138.91,"December, 2022"
11,2022-11-01,184.84,1137.48,"November, 2022"
12,2022-10-01,187.97,1792.19,"October, 2022"
13,2022-09-01,196.63,1186.99,"September, 2022"
14,2022-08-01,198.27,121.89,"August, 2022"
15,2022-07-01,210.62,1774.98,"July, 2022"
16,2022-06-01,197.72,1247.93,"June, 2022"
17,2022-05-01,154.95,11.37,"May, 2022"
18,2022-04-01,155.23,13.23,"April, 2022"
19,2022-03-01,154.82,1293.11,"March, 2022"
20,2022-02-01,174.9,1361.27,"February, 2022"
21,2022-01-01,182.59,13.63,"January, 2022"
22,2021-12-01,185.2,13886.33,"December, 2021"
23,2021-11-01,197.75,139.47,"November, 2021"
24,2021-10-01,191.02,1389.82,"October, 2021"
25,2021-09-01,190.51,1416.99,"September, 2021"
26,2021-08-01,188.1,13.77,"August, 2021"
27,2021-07-01,187.57,137.48,"July, 2021"
28,2021-06-01,189.41,1393.88,"June, 2021"
29,2021-05-01,185.87,1382.43,"May, 2021"
30,2021-04-01,182.32,1382.12,"April, 2021"
31,2021-03-01,182.06,1.32,"March, 2021"
32,2021-02-01,179.0,1364.93,"February, 2021"
33,2021-01-01,183.36,134.66,"January, 2021"
34,2020-12-01,177.39,134.72,"December, 2020"
35,2020-11-01,167.63,13298.63,"November, 2020"
36,2020-10-01,172.34,137.33,"October, 2020"
37,2020-09-01,177.61,1326.66,"September, 2020"
38,2020-08-01,176.64,1298.68,"August, 2020"
39,2020-07-01,173.54,1213.96,"July, 2020"
40,2020-06-01,171.89,12161.48,"June, 2020"
41,2020-05-01,168.35,124.77,"May, 2020"
42,2020-04-01,165.38,12.87,"April, 2020"
43,2020-03-01,123.14,824.99,"March, 2020"
44,2020-02-01,124.38,7.84,"February, 2020"
45,2020-01-01,125.56,777.36,"January, 2020"
46,2019-12-01,124.0,7946.22,"December, 2019"
47,2019-11-01,124.46,7949.61,"November, 2019"
48,2019-10-01,123.07,7927.69,"October, 2019"
49,2019-09-01,122.88,817.49,"September, 2019"
50,2019-08-01,124.14,786.77,"August, 2019"
51,2019-07-01,59.66,3762.96,"July, 2019"
52,2019-06-01,58.74,3821.72,"June, 2019"
53,2019-05-01,58.96,3814.44,"May, 2019"
54,2019-04-01,59.14,382.82,"April, 2019"
55,2019-03-01,59.13,3887.88,"March, 2019"
56,2019-02-01,59.06,3.93,"February, 2019"
57,2019-01-01,58.1,4.36,"January, 2019"
58,2018-12-01,68.55,46.77,"December, 2018"
59,2018-11-01,75.6,497.24,"November, 2018"
60,2018-10-01,76.3,4.49,"October, 2018"
61,2018-09-01,75.79,16.28,"September, 2018"
62,2018-08-01,77.16,4844.38,"August, 2018"
63,2018-07-01,77.11,4839.26,"July, 2018"
64,2018-06-01,62.75,392.78,"June, 2018"
65,2018-05-01,63.91,3962.67,"May, 2018"
66,2018-04-01,65.88,3772.83,"April, 2018"
67,2018-03-01,66.44,3698.96,"March, 2018"
68,2018-02-01,66.26,3729.71,"February, 2018"
69,2018-01-01,65.15,372.94,"January, 2018"
70,2017-12-01,66.94,394.76,"December, 2017"
71,2017-11-01,69.36,413.81,"November, 2017"
72,2017-10-01,72.57,421.36,"October, 2017"
73,2017-09-01,75.36,442.68,"September, 2017"
74,2017-08-01,74.72,444.93,"August, 2017"
