,Date,amount_blnUSD,amount_blnRUB,"Date(m,Y)"
0,2023-01-10,140.11,13648.34,"January, 2023"
1,2023-01-09,142.85,13703.6,"January, 2023"
2,2023-01-08,146.34,13313.45,"January, 2023"
3,2023-01-07,145.58,12670.27,"January, 2023"
4,2023-01-06,153.1,12353.15,"January, 2023"
5,2023-01-05,154.96,12475.59,"January, 2023"
6,2023-01-04,154.45,11906.06,"January, 2023"
7,2023-01-03,147.24,11106.4,"January, 2023"
8,2023-01-02,155.3,10807.6,"January, 2023"
9,2023-01-01,148.35,10434.58,"January, 2023"
10,2022-01-12,186.49,11389.51,"January, 2022"
11,2022-01-11,184.84,11374.08,"January, 2022"
12,2022-01-10,187.97,10792.19,"January, 2022"
13,2022-01-09,196.63,11869.9,"January, 2022"
14,2022-01-08,198.27,12155.89,"January, 2022"
15,2022-01-07,210.62,10774.98,"January, 2022"
16,2022-01-06,197.72,12475.93,"January, 2022"
17,2022-01-05,154.95,11005.37,"January, 2022"
18,2022-01-04,155.23,13052.3,"January, 2022"
19,2022-01-03,154.82,12935.11,"January, 2022"
20,2022-01-02,174.9,13610.27,"January, 2022"
21,2022-01-01,182.59,13565.35,"January, 2022"
22,2021-01-12,185.2,13886.33,"January, 2021"
23,2021-01-11,197.75,13945.07,"January, 2021"
24,2021-01-10,191.02,13898.52,"January, 2021"
25,2021-01-09,190.51,14016.99,"January, 2021"
26,2021-01-08,188.1,13757.05,"January, 2021"
27,2021-01-07,187.57,13574.58,"January, 2021"
28,2021-01-06,189.41,13938.08,"January, 2021"
29,2021-01-05,185.87,13825.43,"January, 2021"
30,2021-01-04,182.32,13802.12,"January, 2021"
31,2021-01-03,182.06,13552.05,"January, 2021"
32,2021-01-02,179.0,13649.3,"January, 2021"
33,2021-01-01,183.36,13545.66,"January, 2021"
34,2020-01-12,177.39,13457.02,"January, 2020"
35,2020-01-11,167.63,13298.63,"January, 2020"
36,2020-01-10,172.34,13733.05,"January, 2020"
37,2020-01-09,177.61,13256.66,"January, 2020"
38,2020-01-08,176.64,12958.68,"January, 2020"
39,2020-01-07,173.54,12139.6,"January, 2020"
40,2020-01-06,171.89,12161.48,"January, 2020"
41,2020-01-05,168.35,12405.77,"January, 2020"
42,2020-01-04,165.38,12855.75,"January, 2020"
43,2020-01-03,123.14,8249.59,"January, 2020"
44,2020-01-02,124.38,7840.55,"January, 2020"
45,2020-01-01,125.56,7773.06,"January, 2020"
46,2019-01-12,124.0,7946.22,"January, 2019"
47,2019-01-11,124.46,7949.61,"January, 2019"
48,2019-01-10,123.07,7927.69,"January, 2019"
49,2019-01-09,122.88,8170.49,"January, 2019"
50,2019-01-08,124.14,7867.7,"January, 2019"
51,2019-01-07,59.66,3762.96,"January, 2019"
52,2019-01-06,58.74,3821.72,"January, 2019"
53,2019-01-05,58.96,3814.44,"January, 2019"
54,2019-01-04,59.14,3828.25,"January, 2019"
55,2019-01-03,59.13,3887.88,"January, 2019"
56,2019-01-02,59.06,3903.5,"January, 2019"
57,2019-01-01,58.1,4036.05,"January, 2019"
58,2018-01-12,68.55,4567.75,"January, 2018"
59,2018-01-11,75.6,4972.45,"January, 2018"
60,2018-01-10,76.3,5004.49,"January, 2018"
61,2018-01-09,75.79,5160.28,"January, 2018"
62,2018-01-08,77.16,4844.38,"January, 2018"
63,2018-01-07,77.11,4839.26,"January, 2018"
64,2018-01-06,62.75,3927.58,"January, 2018"
65,2018-01-05,63.91,3962.67,"January, 2018"
66,2018-01-04,65.88,3772.83,"January, 2018"
67,2018-01-03,66.44,3698.96,"January, 2018"
68,2018-01-02,66.26,3729.71,"January, 2018"
69,2018-01-01,65.15,3752.94,"January, 2018"
70,2017-01-12,66.94,3904.76,"January, 2017"
71,2017-01-11,69.36,4013.81,"January, 2017"
72,2017-01-10,72.57,4210.36,"January, 2017"
73,2017-01-09,75.36,4425.68,"January, 2017"
74,2017-01-08,74.72,4449.35,"January, 2017"
75,2017-01-07,74.22,4385.49,"January, 2017"
76,2017-01-06,74.18,4192.3,"January, 2017"
77,2017-01-05,73.57,4192.5,"January, 2017"
78,2017-01-04,73.33,4134.27,"January, 2017"
79,2017-01-03,72.6,4206.38,"January, 2017"
80,2017-01-02,72.46,4359.3,"January, 2017"
81,2017-01-01,71.87,4359.16,"January, 2017"
82,2016-01-12,71.26,4628.09,"January, 2016"
83,2016-01-11,72.2,4541.93,"January, 2016"
84,2016-01-10,73.11,4617.54,"January, 2016"
85,2016-01-09,72.71,4719.17,"January, 2016"
86,2016-01-08,72.21,4842.0,"January, 2016"
87,2016-01-07,72.76,4675.36,"January, 2016"
88,2016-01-06,72.99,4823.19,"January, 2016"
89,2016-01-05,73.86,4751.69,"January, 2016"
90,2016-01-04,73.18,4947.33,"January, 2016"
91,2016-01-03,71.34,5356.96,"January, 2016"
92,2016-01-02,71.15,5348.66,"January, 2016"
93,2016-01-01,71.72,5227.18,"January, 2016"
94,2015-01-12,72.22,4784.05,"January, 2015"
95,2015-01-11,73.45,4728.39,"January, 2015"
96,2015-01-10,73.66,4878.8,"January, 2015"
97,2015-01-09,73.76,4903.67,"January, 2015"
98,2015-01-08,74.56,4398.15,"January, 2015"
99,2015-01-07,75.65,4200.53,"January, 2015"
100,2015-01-06,75.86,4018.51,"January, 2015"
101,2015-01-05,76.33,3946.42,"January, 2015"
102,2015-01-04,74.35,4346.94,"January, 2015"
103,2015-01-03,74.92,4590.59,"January, 2015"
104,2015-01-02,74.02,5101.83,"January, 2015"
105,2015-01-01,78.0,4388.09,"January, 2015"
106,2014-01-12,79.97,3944.12,"January, 2014"
107,2014-01-11,81.74,3547.02,"January, 2014"
108,2014-01-10,83.2,3276.79,"January, 2014"
109,2014-01-09,85.31,3150.5,"January, 2014"
110,2014-01-08,86.46,3088.79,"January, 2014"
111,2014-01-07,87.94,2957.38,"January, 2014"
112,2014-01-06,87.32,3033.17,"January, 2014"
113,2014-01-05,87.62,3127.94,"January, 2014"
114,2014-01-04,87.5,3122.51,"January, 2014"
115,2014-01-03,87.25,3145.34,"January, 2014"
116,2014-01-02,87.39,3079.94,"January, 2014"
117,2014-01-01,88.63,2900.64,"January, 2014"
118,2013-01-12,88.06,2922.79,"January, 2013"
119,2013-01-11,88.74,2845.19,"January, 2013"
120,2013-01-10,88.03,2847.35,"January, 2013"
121,2013-01-09,86.77,2884.79,"January, 2013"
122,2013-01-08,86.9,2858.04,"January, 2013"
123,2013-01-07,86.47,2828.23,"January, 2013"
124,2013-01-06,86.72,2739.33,"January, 2013"
125,2013-01-05,87.27,2727.79,"January, 2013"
126,2013-01-04,86.76,2696.73,"January, 2013"
127,2013-01-03,87.61,2682.58,"January, 2013"
128,2013-01-02,89.21,2678.63,"January, 2013"
129,2013-01-01,88.59,2690.63,"January, 2013"
130,2012-01-12,87.47,2716.61,"January, 2012"
131,2012-01-11,87.19,2748.67,"January, 2012"
132,2012-01-10,87.61,2708.58,"January, 2012"
133,2012-01-09,85.85,2772.45,"January, 2012"
134,2012-01-08,85.21,2742.85,"January, 2012"
135,2012-01-07,85.64,2810.45,"January, 2012"
136,2012-01-06,85.48,2773.78,"January, 2012"
137,2012-01-05,89.21,2619.52,"January, 2012"
138,2012-01-04,89.5,2624.78,"January, 2012"
139,2012-01-03,89.84,2600.88,"January, 2012"
140,2012-01-02,88.33,2682.21,"January, 2012"
141,2012-01-01,86.79,2794.43,"January, 2012"
142,2011-01-12,88.26,2764.4,"January, 2011"
143,2011-01-11,91.19,2726.42,"January, 2011"
144,2011-01-10,88.69,2827.1,"January, 2011"
145,2011-01-09,92.63,2673.05,"January, 2011"
146,2011-01-08,92.7,2566.04,"January, 2011"
147,2011-01-07,92.61,2600.0,"January, 2011"
148,2011-01-06,92.54,2597.55,"January, 2011"
149,2011-01-05,94.34,2594.58,"January, 2011"
150,2011-01-04,91.8,2609.66,"January, 2011"
151,2011-01-03,90.94,2631.98,"January, 2011"
152,2011-01-02,90.15,2674.53,"January, 2011"
153,2011-01-01,88.44,2695.52,"January, 2011"
154,2010-01-12,88.22,2761.96,"January, 2010"
155,2010-01-11,90.08,2772.8,"January, 2010"
156,2010-01-10,89.54,2722.15,"January, 2010"
157,2010-01-09,87.12,2671.54,"January, 2010"
158,2010-01-08,88.24,2663.76,"January, 2010"
159,2010-01-07,85.47,2666.41,"January, 2010"
160,2010-01-06,85.8,2616.54,"January, 2010"
161,2010-01-05,88.83,2601.62,"January, 2010"
162,2010-01-04,89.58,2630.27,"January, 2010"
163,2010-01-03,89.63,2684.21,"January, 2010"
164,2010-01-02,90.63,2757.89,"January, 2010"
165,2010-01-01,91.56,2769.02,"January, 2010"
166,2009-01-12,92.89,2769.84,"January, 2009"
167,2009-01-11,93.38,2712.56,"January, 2009"
168,2009-01-10,91.86,2764.37,"January, 2009"
169,2009-01-09,90.69,2863.08,"January, 2009"
170,2009-01-08,90.02,2858.7,"January, 2009"
171,2009-01-07,89.93,2813.94,"January, 2009"
172,2009-01-06,89.86,2784.14,"January, 2009"
173,2009-01-05,86.3,2869.44,"January, 2009"
174,2009-01-04,85.71,2915.21,"January, 2009"
175,2009-01-03,83.86,2995.51,"January, 2009"
176,2009-01-02,84.47,2991.5,"January, 2009"
177,2009-01-01,87.97,2584.49,"January, 2009"
178,2008-01-12,76.38,2108.46,"January, 2008"
179,2008-01-11,62.82,1667.48,"January, 2008"
180,2008-01-10,48.68,1228.88,"January, 2008"
181,2008-01-09,31.92,784.51,"January, 2008"
182,2008-01-08,32.69,766.48,"January, 2008"
183,2008-01-07,32.85,770.56,"January, 2008"
184,2008-01-06,32.6,773.93,"January, 2008"
185,2008-01-05,32.72,773.82,"January, 2008"
186,2008-01-04,32.9,773.57,"January, 2008"
187,2008-01-03,32.22,777.03,"January, 2008"
188,2008-01-02,32.0,783.31,"January, 2008"
