Data;01.10.2022;01.11.2022;01.12.2022;01.01.2023;01.02.2023;01.03.2023;01.04.2023;01.05.2023;01.06.2023;01.07.2023;01.08.2023;01.09.2023;01.10.2023;01.11.2023
Volume of the National Wealth Fund, RUB mln;7524361,3;7872548,3;7601763,0;6132655,2;6334590,6;6446231,0;6712063,4;6828671,4;6643004,4;6811125,0;7183391,5;7251634,9;7140176,1;6938308,8
Volume of the National Wealth Fund, USD mln;131056,8;127937,6;124467,7;87189,0;91023,8;85457,2;87072,1;84818,4;82330,3;78258,1;78957,2;75594,3;73296,7;74410,6
Balance on Federal Treasury’s accounts with the Bank of the Russia, EUR mln;49188,8;45733,5;41891,7;10464,5;10464,5;10464,5;10398,8;9233,6;9054,6;7278,7;7278,7;5224,6;4070,6;3666,6
Balance on Federal Treasury’s accounts with the Bank of the Russia, CNY mln;309720,1;309720,1;309720,1;309720,1;307445,9;300067,9;292588,8;288330,1;285736,1;282284,2;280158,9;279773,7;279773,7;279773,7
Balance on Federal Treasury’s accounts with the Bank of the Russia, GOLD kg;554910,5;554910,5;554910,5;554910,5;551277,5;539245,1;527382,3;520974,0;517114,1;511986,9;508835,4;508265,3;508265,3;508265,3
Balance on Federal Treasury’s accounts with the Bank of the Russia, RUB mln;264,3;526,7;242,7;274,8;530,1;6124,0;140,7;232,8;228,0;400,4;5490,5;6775,9;395,9;261,8
Deposits and subordinated debt with VEB.RF, RUB mln;528448,9;528186,5;650116,3;649841,5;649586,2;649345,9;648927,2;648694,4;648466,4;653020,0;655170,8;656580,0;657029,3;657764,8
Debt obligations of foreign countries, USD mln;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0;3000,0
Securities of Russian issuers related to the implementation of self-sustaining infrastructure projects, RUB mln;314357,4;319388,7;385146,2;583710,0;583710,0;583710,0;595596,0;603639,1;619314,4;697875,5;703010,4;862315,2;918404,2;940395,4
Securities of Russian issuers related to the implementation of self-sustaining infrastructure projects, USD mln;2221,4;2221,4;2221,4;2153,4;2153,4;2082,4;2082,4;2082,4;2082,4;2014,4;2014,4;1943,5;1943,5;1943,5
Preferred shares of credit organizations, RUB mln;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9;328991,9
Subordinated debt with GAZPROMBANK, RUB mln;0,0;0,0;0,0;0,0;0,0;0,0;38433,9;38433,9;38433,9;38433,9;38433,9;38433,9;38433,9;38433,9
Common stocks, RUB mln;1393665,3;1601086,9;1702023,3;1757319,5;1932491,9;2095160,2;2709111,9;3041875,2;3088748,3;3128294,4;3384520,7;3465106,2;3389191,3;3463670,0
Preferred shares, RUB mln;250000,0;250000,0;250000,0;467000,0;467000,0;467000,0;467000,0;467000,0;467000,0;467000,0;467000,0;467000,0;467000,0;467000,0
Bonds, RUB mln;14150,8;14150,8;14150,8;14150,8;14150,8;14150,8;14150,8;109098,9;109098,9;109098,9;96722,8;159313,4;227543,5;245719,7
